_id,name,numeric,mcc,mnc,carrier_id,apn,user,server,password,proxy,port,mmsproxy,mmsport,mmsc,authtype,type,current,current1,sim_slot,protocol,roaming_protocol,carrier_enabled,bearer,bearer_bitmask,network_type_bitmask,mvno_type,mvno_match_data,sub_id,profile_id,modem_cognitive,max_conns,wait_time,max_conns_time,mtu,edited,user_visible,user_editable,owned_by,apn_set_id,roaming,skip_464xlat
32,T-Mobile MMS,20416,204,16,-1,mms,tmobilemms,,tmobilemms,,,10.10.10.11,8080,http://t-mobilemms,1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
33,T-Mobile IMS,20416,204,16,-1,IMS,,,,,,,,,0,ims,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
34,T-Mobile HOS,20416,204,16,-1,hos,tmobilemms,,tmobilemms,,,,,,1,xcap,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
35,Ben Internet,20416,204,16,-1,smartsites.t-mobile,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,BEN NL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
36,Ben Internet,20416,204,16,-1,smartsites.t-mobile,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IP,1,0,0,0,gid,5F,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
37,Ben Internet PrePaid,20416,204,16,-1,basic.internet.ben.data,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,BEN NL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
38,Ben MMS,20416,204,16,-1,mms.ben,,,,,,10.10.10.11,8080,http://benmms,1,mms,,,-1,IPV4V6,IP,1,0,0,0,spn,BEN NL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
39,Ben MMS,20416,204,16,-1,mms.ben,,,,,,10.10.10.11,8080,http://benmms,1,mms,,,-1,IPV4V6,IP,1,0,0,0,gid,5F,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
40,Ziggo Internet,20418,204,18,-1,internet.ziggo.nl,,,,,,,,,1,default,,,-1,IP,IP,1,0,0,0,spn,Ziggo,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
41,T-Mobile Internet,20420,204,20,-1,smartsites.t-mobile,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
42,T-Mobile MMS,20420,204,20,-1,mms,tmobilemms,,tmobilemms,,,010.010.010.011,8080,http://t-mobilemms,1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
43,IMS,20420,204,20,-1,IMS,,,,,,,,,1,ims,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
44,HOS,20420,204,20,-1,hos,tmobilemms,,tmobilemms,10.10.10.11,8080,,,,1,xcap,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
45,Truphone,20433,204,33,-1,truphone.com,,,,,,,,http://mmsc.truphone.com:1981/mm1,-1,"default,supl,mms,dun",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
46,Proximus Internet,20601,206,01,-1,internet.proximus.be,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
47,Proximus MMS,20601,206,01,-1,event.proximus.be,mms,,mms,,,10.55.14.75,8080,http://mmsc.proximus.be/mms,1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
48,Virgin Media Mobile Internet,20601,206,01,-1,goto.virginmobile.uk,user,,,,,193.30.166.2,8080,http://mms.virginmobile.co.uk:8002,1,"default,supl,mms",,,-1,IP,IP,1,0,0,0,gid,28,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
49,Virgin Media,20601,206,01,-1,Internet,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,75,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
50,Proximus Web,20601,206,01,-1,internet.proximus.be,,,,,,,,,1,"default,supl",,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
51,Proximus XCAP,20601,206,01,-1,HOS,,,,,,,,,-1,xcap,,,-1,IPV4V6,IP,1,0,8192,4096,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
52,Proximus IMS,20601,206,01,-1,ims,,,,,,,,,-1,ims,,,-1,IPV4V6,IP,1,0,8192,4096,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
53,IMS,20601,206,01,-1,ims,,,,,,,,,-1,ims,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
54,Eastlink Xcap,20601,206,01,-1,services,,,,,,,,,-1,xcap,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
55,ETB 4G,20601,206,01,-1,internetmovil.etb.net.co,,,,,,,,,1,default,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
56,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018859,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
57,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,20601880039,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
58,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018800182,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
59,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018800183,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
60,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018800184,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
61,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018800196,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
62,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018800197,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
63,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802200,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
64,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802201,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
65,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802202,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
66,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802203,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
67,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802204,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
68,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802670,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
69,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802671,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
70,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802672,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
71,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802673,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
72,spusu,20601,206,01,-1,mass.at,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,206018802674,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
73,ETB 4G,206018,206,018,-1,internetmovil.etb.net.co,,,,,,,,,1,default,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
74,Telenet Internet,20601,206,01,-1,telenetwap.be,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,2060188,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
75,Telenet MMS,20601,206,01,-1,mms.be,,,,,,195.130.149.100,80,http://mmsc.telenet.be,-1,mms,,,-1,IP,IP,1,0,0,0,imsi,2060188,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
76,Telenet XCAP,20601,206,01,-1,XCAP,,,,,,,,,-1,xcap,,,-1,IP,IP,1,0,0,0,imsi,2060188,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
77,Virgin mobile,20601,206,01,-1,virgin-mobile.fr,,,,10.6.10.1,8080,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,52,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
78,VM MMS,20601,206,01,-1,virgin-mobile.fr,,,,,,10.6.10.1,8080,http://virginmms.fr,-1,mms,,,-1,IP,IP,1,0,0,0,gid,52,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
79,Eastlink MMS,20601,206,01,-1,mms.mobi.eastlink.ca,,,,,,10.232.12.49,8080,http://mmss.mobi.eastlink.ca,-1,mms,,,-1,IP,IP,1,0,0,0,gid,B6,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
80,Eastlink Internet,20601,206,01,-1,wisp.mobi.eastlink.ca,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,B6,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
81,MMS,20601,206,01,-1,mms.iusacellgsm.mx,,,,,,,,http://mms.iusacell3g.com/,0,mms,,,-1,IP,IP,1,0,0,0,spn,UNEFON,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
82,Modem,20601,206,01,-1,modem.iusacellgsm.mx,iusacellgsm,,iusacellgsm,,,,,,0,dun,,,-1,IP,IP,1,0,0,0,spn,UNEFON,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
83,Location,20601,206,01,-1,supl.iusacellgsm.mx,,,,,,,,,0,supl,,,-1,IP,IP,1,0,0,0,spn,UNEFON,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
84,Internet,20601,206,01,-1,web.iusacellgsm.mx,,,,,,,,,0,default,,,-1,IP,IP,1,0,0,0,spn,UNEFON,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
85,MMS,20601,206,01,-1,mms.iusacellgsm.mx,,,,,,,,http://mms.iusacell3g.com/,0,mms,,,-1,IP,IP,1,0,0,0,spn,IUSACELL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
86,Modem,20601,206,01,-1,modem.iusacellgsm.mx,iusacellgsm,,iusacellgsm,,,,,,0,dun,,,-1,IP,IP,1,0,0,0,spn,IUSACELL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
87,Location,20601,206,01,-1,supl.iusacellgsm.mx,,,,,,,,,0,supl,,,-1,IP,IP,1,0,0,0,spn,IUSACELL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
88,Internet,20601,206,01,-1,web.iusacellgsm.mx,,,,,,,,,0,default,,,-1,IP,IP,1,0,0,0,spn,IUSACELL,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
89,Internet,20601,206,01,-1,movil.vtr.com,vtrmovil,,vtrmovil,,,,,,2,default,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
90,Tesco Mobile Internet,20601,206,01,-1,tescomobile.liffeytelecom.com,,,,,,10.1.11.19,8080,http://10.1.11.68/servlets/mms,-1,"default,supl,mms",,,-1,IP,IP,1,0,0,0,gid,0A,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
91,UPC Mobil Internet,20601,206,01,-1,Internet.hu.upcmobile.com,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,75,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
92,UPC MMS,20601,206,01,-1,mms.hu.upcmobile.com,,,,,,62.179.127.18,8080,http://mms.hu.upcmobile.com:8080/servlets/mms,1,mms,,,-1,IP,IP,1,0,0,0,gid,75,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
93,UPC mobiles Internet,20601,206,01,-1,Internet.at.upcmobile.com,,,,,,,,,-1,default,,,-1,IP,IP,1,0,0,0,imsi,206018014,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
94,upcnet,20601,206,01,-1,internet.ch.upcmobile.com,,,,,,,,,-1,default,,,-1,IP,IP,1,0,0,0,imsi,206018012,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
95,upcmms,20601,206,01,-1,mms.ch.upcmobile.com,,,,,,62.179.127.18,8080,http://mms.ch.upcmobile.com:8080/servlets/mms,-1,mms,,,-1,IP,IP,1,0,0,0,imsi,206018012,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
96,IMS,20601,206,01,-1,ims,,,,,,,,,1,ims,,,-1,IP,IP,1,0,0,0,imsi,206018012,1,0,0,20,0,300,0,0,0,0,1,0,0,-1
97,Virgin Media Mobile Internet,20601,206,01,-1,goto.virginmobile.uk,user,,,,,193.30.166.2,8080,http://mms.virginmobile.co.uk:8002,1,"default,mms,supl",,,-1,IP,IP,1,0,0,0,gid,28,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
98,Ziggo Internet,20601,206,01,-1,internet.ziggo.nl,,,,,,,,,1,default,,,-1,IP,IP,1,0,0,0,spn,Ziggo,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
99,Telenet Internet,20601,206,01,-1,telenetwap.be,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,imsi,20601889,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
100,Telenet MMS,20601,206,01,-1,mms.be,,,,,,195.130.149.100,80,http://mmsc.telenet.be,1,mms,,,-1,IP,IP,1,0,0,0,imsi,20601889,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
101,Telenet XCAP,20601,206,01,-1,XCAP,,,,,,,,,-1,xcap,,,-1,IP,IP,1,0,0,0,imsi,20601889,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
102,Telenet IMS,20601,206,01,-1,ims,,,,,,,,,-1,ims,,,-1,IPV6,IPV6,1,0,0,0,imsi,20601889,1,0,0,20,0,300,1300,0,1,1,1,0,0,-1
103,Telenet Internet,20605,206,05,-1,telenetwap.be,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
104,Telenet MMS,20605,206,05,-1,mms.be,,,,,,195.130.149.100,80,http://mmsc.telenet.be,1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
105,Telenet IMS,20605,206,05,-1,ims,,,,,,,,,-1,ims,,,-1,IPV6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
106,Lycamobile,20606,206,06,-1,data.lycamobile.be,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,Lycamobile,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
107,VOO Internet,20608,206,08,-1,internet.voo.be,,,,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
108,Orange MMS,20610,206,10,-1,mms.be,,,,,,212.65.63.143,8080,http://mmsc.mobistar.be,-1,mms,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
109,Orange Internet,20610,206,10,-1,mworld.be,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
110,netgprs.com,20610,206,10,-1,netgprs.com,tsl,,tsl,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,BE-Transatel,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
111,netgprs.com,20610,206,10,-1,netgprs.com,tsl,,tsl,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,BB00,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
112,Orange Internet,20610,206,10,-1,mworld.be,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,Orange B,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
113,Orange B IMS,20610,206,10,-1,ims,,,,,,,,,0,ims,,,-1,IP,IP,1,0,0,0,spn,Orange B,1,0,0,20,0,300,1300,0,1,0,1,0,0,-1
114,Orange MMS,20610,206,10,-1,mms.be,,,,,,212.65.63.143,8080,http://mmsc.mobistar.be,1,mms,,,-1,IP,IP,1,0,0,0,spn,Orange B,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
115,BASE Internet,20620,206,20,-1,gprs.BASE.be,BASE,,BASE,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,spn,BASE,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
116,BASE MMS,20620,206,20,-1,mms.BASE.be,BASE,,BASE,,,217.72.235.1,8080,http://mmsc.BASE.be,1,mms,,,-1,IP,IP,1,0,0,0,spn,BASE,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
117,BASE IMS,20620,206,20,-1,ims,,,,,,,,,0,ims,,,-1,IPV6,IPV6,1,0,0,0,spn,BASE,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
118,BASE XCAP,20620,206,20,-1,XCAP,,,,,,,,,0,xcap,,,-1,IP,IP,1,0,0,0,spn,BASE,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
119,BICS Internet,20628,206,28,-1,bicsapn,,,,,,,,,-1,"default,supl",,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
120,Orange World,20801,208,01,-1,orange,orange,,orange,,,,,http://mms.orange.fr,1,"default,dun,supl,xcap,mms",,,-1,IPV6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
121,Orange F IMS,20801,208,01,-1,ims,,,,,,,,,1,ims,,,-1,IPV4V6,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
122,Orange F VoWiFi,20801,208,01,-1,vowifiorange,,,,,,192.168.10.200,8080,http://mms.orange.fr/,1,"mms,xcap",,,-1,IPV4V6,IP,1,0,131072,131072,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
123,Orange entreprises,20801,208,01,-1,orange-mib,orange,,orange,172.016.002.008,8000,,,,1,default,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
124,Internet Entreprise,20801,208,01,-1,Internet-entreprise,orange,,orange,,,,,,1,dun,,,-1,IP,IP,1,0,0,0,,,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
125,Carrefour WAP,20801,208,01,-1,ofnew.fr,orange,,orange,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,33,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
126,Carrefour MMS,20801,208,01,-1,orange.acte,orange,,orange,,,192.168.10.200,8080,http://mms.orange.fr/,1,mms,,,-1,IP,IP,1,0,0,0,gid,33,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
127,VM WAP,20801,208,01,-1,ofnew.fr,orange,,orange,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,52,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
128,VM MMS,20801,208,01,-1,orange.acte,orange,,orange,,,192.168.10.200,8080,http://mms.orange.fr,1,mms,,,-1,IP,IP,1,0,0,0,gid,52,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
129,RSO WEB,20801,208,01,-1,ofnew.fr,orange,,orange,,,,,,1,"default,supl",,,-1,IP,IP,1,0,0,0,gid,4E,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
130,RSO MMS,20801,208,01,-1,orange.acte,orange,,orange,,,192.168.10.200,8080,http://mms.orange.fr,1,mms,,,-1,IP,IP,1,0,0,0,gid,4E,1,0,0,20,0,300,0,0,1,1,1,0,0,-1
