id,download_id,header,value
429,369,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
430,369,Accept,application/octet-stream
431,370,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
432,370,Accept,application/octet-stream
433,371,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
434,371,Accept,application/octet-stream
435,372,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
436,372,Accept,application/octet-stream
437,373,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
438,373,Accept,application/octet-stream
439,374,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
440,374,Accept,application/octet-stream
441,375,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
442,375,Accept,application/octet-stream
443,376,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
444,376,Accept,application/octet-stream
445,377,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
446,377,Accept,application/octet-stream
447,389,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
448,389,Accept,application/octet-stream
449,390,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
450,390,Accept,application/octet-stream
451,391,User-Agent,"Dalvik/2.1.0 (Linux; U; Android 11; SM-N970U1 Build/RP1A.200720.012) [FBAN/AppManager;FBAV/71.0.14;FBLC/en_US;FBBV/297675409;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBDV/SM-N970U1;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.625,width=1080,height=2064};FB_FW/1;FBAS/30;FBXPR/1;FBXDID/1e43a82c-3db0-433a-b835-2e13225cbc17;FBLSM/310260;FBBPN/d1que;FBBPD/d1q;FBFSM/310260;FBOXIV/297675333;FBLR/0;FBXPID/samsung:dec1cc9c-1497-4aab-b953-cee702c2a481;]"
452,391,Accept,application/octet-stream
