docid,c0parent_class,c1child_class,c2parent_title,c3child_title
-2017766189,com.samsung.android.settings.connection.WirelessSettings,com.android.settings.vpn2.VpnSettingsForATT,More connection settings,VPN
-2015416988,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Multicore packet scheduler
-2014281109,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,Background usage limits,Deep sleeping apps
-2006527647,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Tethering hardware acceleration
-2004017938,com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Contact us
-2003762933,com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODSettingsMain,Always On Display,Screen orientation
-2002508985,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Personal data,Secret mode settings
-1998497136,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Supplementary services,Call settings,Supplementary services
-1995979009,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Show notification channel warnings
-1995759465,com.android.launcher3.settings.SamsungDexLabsOptions,com.android.launcher3.settings.SamsungDexLabsOptions,Labs,Auto open last app
-1990336739,com.android.launcher3.settings.DesktopSettingsActivity,com.sec.android.app.wallpaperchooser.WallpaperSettingsActivity,Samsung DeX,Wallpaper
-1985220909,com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.encryption.CryptSDCardSettings,Biometrics and security,Encrypt or decrypt SD card
-1982860280,com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.security.BiometricsAndSecuritySettings,Biometrics and security,Secure Wi-Fi
-1981957623,com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeSettings,Volume,Ringtone
-1981740915,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.service.aircommand.settings.SPenSettingActivity,Advanced features,S Pen
-1979948641,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Languages and types
-1973419792,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Power saving mode,Limit CPU speed to 70%
-1971488385,com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Make the switch to OneDrive
-1968866890,com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,Advanced,Ask to use Bluetooth
-1968721991,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Single-tap typing
-1966106893,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,Mouse/trackpad,Pointer speed
-1965665363,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Internet settings,Sites and downloads
-1961490669,com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,Lock screen,Notifications
-1956679743,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Wi-Fi scan throttling
-1953472800,com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarSettings,Navigation bar,Navigation type
-1947325578,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Real Time Text
-1944738552,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,Show notification icons
-1944126784,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,Software information,Knox Configure
-1942601070,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,System sound
-1932635373,com.samsung.android.app.calendar.activity.ReminderSettingsActivity,com.samsung.android.app.calendar.activity.ReminderSettingsActivity,Alert settings,Events
-1931925404,com.samsung.android.honeyboard.settings.handwriting.HwrSettings,com.samsung.android.honeyboard.settings.handwriting.HwrSettings,Handwriting,Switch Simp./Trad. Ch.
-1931652678,com.android.settings.datetime.DateTimeSettings,com.android.settings.datetime.DateTimeSettings,Date and time,Use 24-hour format
-1930346024,com.samsung.android.settings.activekey.ActiveKeySettings,com.samsung.android.settings.activekey.ActiveKeyAppGridView,Active key,Press and hold
-1929936107,com.samsung.android.settings.security.OtherSecuritySettings,com.android.settings.applications.specialaccess.deviceadmin.DeviceAdminSettings,Other security settings,Device admin apps
-1927623259,com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Google subtitles (CC)
-1927063538,com.samsung.accessibility.homepage.AccessibilitySettings,com.samsung.accessibility.homepage.AccessibilityHomepageActivity,Accessibility,Advanced settings
-1925697162,com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.wifi.savedaccesspoints.SavedAccessPointsSettings,Status information,Wi-Fi MAC address
-1924666280,com.android.settings.system.ResetDashboardFragment,com.android.settings.MasterClear,Reset,Factory data reset
-1921166747,com.android.settings.tts.TextToSpeechSettings,com.android.settings.tts.TextToSpeechSettings,Text-to-speech,Language
-1916875127,com.samsung.android.settings.connection.ConnectionsSettings,com.android.settings.wifi.WifiSettings,Connections,Wi-Fi
-1912536018,com.android.settings.deviceinfo.aboutphone.MyDeviceInfoFragment,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,About phone,Software information
-1912389393,com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,Mobile networks
-1911475009,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,Verbosity,Speak the number of list items on the screen
-1911160038,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,Block numbers and messages,Block numbers
-1908809417,com.android.settings.applications.manageapplications.ManageApplications,com.android.settings.applications.manageapplications.ManageApplications,Apps,Samsung app settings
-1908463157,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Show view updates
-1900652207,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Ringtone
-1893416308,com.android.settings.DisplaySettings,com.samsung.android.settings.display.NewModePreview,Display,Screen mode
-1890940235,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,Mouse and trackpad,Tap to click
-1889570675,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Notification sounds
-1883764335,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.applications.RunningServices,Developer options,Running services
-1883532970,com.android.settings.applications.specialaccess.SpecialAccessSettings,com.android.settings.applications.specialaccess.interactacrossprofiles.InteractAcrossProfilesSettings,Special access,Connected personal and work apps
-1883519818,com.samsung.android.settings.security.OtherSecuritySettings,com.android.settings.security.trustagent.TrustAgentSettings,Other security settings,Trust agents
-1875697509,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable Wi-Fi Verbose Logging
-1873788584,com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Customization Service
-1873164647,com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,Bring data from old device
-1862695683,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Allow screen overlays on Settings
-1859263754,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Keyboard toolbar
-1857090843,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,System sound/vibration control,Touch interactions
-1855899944,com.samsung.android.sm.score.ui.ScoreBoardActivity,com.samsung.android.sm.advanced.AdvancedSettingsActivity,Battery and device care,Automation
-1850057318,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,LED indicator
-1846711872,com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Customize My Files home
-1844668457,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Play sound for keypad taps
-1843069762,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,More typing options,Auto capitalize
-1839641974,com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,Chinese input options,Suggest trad. Chinese
-1830694021,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable ScrollFilter
-1827401123,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.samsung.android.settings.development.actions.ActionsTestFragment,Developer options,Actions UI demo
-1827225459,com.samsung.android.settings.datausage.trafficmanager.ui.DataSaverSummaryCHN,com.android.settings.datausage.UnrestrictedDataAccess,Restrict background data,Use data without restrictions
-1826122844,com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,Multimedia messages,Group conversation
-1825080738,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Verbose vendor logging
-1822684645,com.samsung.android.settings.connection.WirelessSettings,com.android.settings.vpn2.VpnSettings,More connection settings,VPN
-1814376325,com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Show Wi-Fi pop-up
-1814163155,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,More settings,Delete old messages
-1804939110,com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeLimiterSettings,Volume,Media volume limit
-1802709910,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchfeedback.KeyTapFeedbackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchfeedback.KeyTapFeedbackSettings,Touch feedback,Sound
-1800948102,com.android.settings.datetime.timezone.TimeZoneSettings,com.android.settings.datetime.timezone.TimeZoneSettings,Select time zone,Region
-1797810664,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Verify apps over USB
-1789209239,com.samsung.android.samsungaccount.setting.ui.main.SettingMainPreference,com.samsung.android.samsungaccount.setting.ui.personalinfo.SettingPersonalInfoPreference,Samsung account,Profile info
-1782408059,com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarSettings,Navigation bar,Show button to hide keyboard
-1781957818,com.android.settings.DisplaySettings,com.android.settings.DisplaySettings,Display,Outdoor mode
-1776466540,com.android.settings.security.InstallCertificateFromStorage,com.android.settings.security.InstallCertificateFromStorage,Install from device storage,CA certificate
-1771475082,com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Appearance,Show tabs below address bar
-1765839251,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Minimum width
-1765666681,com.android.settings.AllInOneTetherSettings,com.android.settings.AllInOneTetherSettings,Mobile Hotspot and Tethering,Turn off hotspot automatically
-1761068851,com.android.settings.tts.TextToSpeechSettings,com.android.settings.tts.TtsEnginePreferenceFragment,Text-to-speech,Preferred engine
-1757664905,com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,About My Files
-1755804173,com.samsung.accessibility.assistantmenu.settings.AssistantMenuSettingsFragment,com.samsung.accessibility.assistantmenu.Activities$AssistantMenuSettingsActivity,Assistant menu,Assistant menu size
-1755636925,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Camera Laser Sensor
-1751692707,com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,General
-1750662197,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,Background usage limits,Never sleeping apps
-1750112475,com.samsung.android.sm.battery.ui.BatteryActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Battery,Power saving mode
-1749828508,com.android.launcher3.settings.usedex.HowToUseDex,com.android.launcher3.settings.usedex.UseKeyboardShortcut,How to use Samsung DeX,Use keyboard shortcuts
-1737498267,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Bluetooth Audio LDAC Codec: Playback Quality
-1730789976,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Reduce window announcement delay
-1729316779,com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,Up time
-1721371928,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Caller ID and spam protection,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Caller ID and spam protection,Caller ID and spam protection,Block spam and scam calls
-1712087589,com.android.settings.applications.manageapplications.ManageApplications,com.android.settings.applications.specialaccess.SpecialAccessSettings,Apps,Special access
-1710148807,com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,4G MAC address
-1706815742,com.android.homescreen.settings.HomeScreenSettingsActivity,com.android.homescreen.settings.HomeScreenSettingsActivity,Home screen settings,Add new apps to Home screen
-1705809092,com.samsung.android.samsungaccount.authentication.ui.signup.AccountHelpPreference,com.samsung.android.samsungaccount.authentication.ui.signup.AccountHelpPreference,Help,Forgot your ID or password?
-1705005698,com.android.settings.wifi.WifiSettings,com.android.settings.wifi.p2p.WifiP2pSettings,Wi-Fi,Wi-Fi Direct
-1704783712,com.android.settings.localepicker.LocaleListEditor,com.android.settings.localepicker.LocaleListEditor,Language,Add language
-1701459967,com.samsung.android.forest.home.DefaultActivity,com.samsung.android.forest.weekly.WeeklyReportActivity,Digital Wellbeing and parental controls,Weekly report
-1695984599,com.android.settings.system.ResetDashboardFragment,com.samsung.android.settings.general.ResetAccSettings,Reset,Reset accessibility settings
-1691467397,com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,Secure lock settings,Lock instantly with Side key
-1686557196,com.samsung.android.settings.notification.SecVolumeLimiterSettings,com.samsung.android.settings.notification.SecVolumeLimiterSettings,Media volume limit,Custom volume limit
-1669785577,com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,com.samsung.android.settings.bluetooth.BluetoothAdvancedSettings,Advanced,Received files
-1665893703,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Store logger data persistently on device
-1664622693,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable Gabeldorsche
-1649857227,com.samsung.accessibility.advanced.UsefulSettings,com.samsung.accessibility.Activities$UsefulSettingsActivity,Advanced settings,Flash notification
-1648255664,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,App lock
-1647637429,com.samsung.android.honeyboard.settings.styleandlayout.modes.ModesSettings,com.samsung.android.honeyboard.settings.styleandlayout.modes.ModesSettings,Mode,Split keyboard
-1645902604,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Strict mode enabled
-1645265789,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,com.samsung.android.settings.deviceinfo.SoftwareInfoSettings,Software information,Kernel version
-1643656865,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Profile HWUI rendering
-1640125025,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Show contacts when sharing content
-1624995982,com.samsung.android.honeyboard.settings.handwriting.HwrSettings,com.samsung.android.honeyboard.settings.handwriting.HwrSettings,Handwriting,Pen detection
-1619169324,com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,"Swipe, touch, and feedback",Touch feedback
-1618618776,com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,Service provider
-1618229751,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Magnification
-1613962543,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Background process limit
-1613229635,com.android.settings.LegalSettings,com.android.settings.LegalSettings,Legal information,License
-1612431737,com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Register face
-1611538867,com.samsung.android.settings.notification.SecVibrationIntensitySettings,com.samsung.android.settings.notification.SecVibrationIntensitySettings,Vibration intensity,Touch interaction
-1607930418,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,OEM unlocking
-1597380798,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,Verbosity,Speak element type
-1589662429,com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,com.samsung.android.settings.lockscreen.SecuredLockSettingsMenu,Secure lock settings,Lock when folded
-1588833960,com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Magnifier window
-1582631500,com.samsung.android.settings.notification.SecVibrationIntensitySettings,com.samsung.android.settings.notification.SecVibrationIntensitySettings,Vibration intensity,Incoming call
-1568799368,com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Ask to use WLAN
-1562331797,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Explore by touch
-1560553187,com.android.homescreen.settings.HomeScreenSettingsActivity,com.android.homescreen.settings.HomeScreenSettingsActivity,Home screen settings,Lock Home screen layout
-1557931393,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Festival effect
-1554439932,com.samsung.accessibility.dexterity.AccessibilitySettingsMobility,com.samsung.accessibility.Activities$AccessibilitySettingsMobilityActivity,Interaction and dexterity,Touch and hold delay
-1548489198,com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,Advanced Calling
-1547269398,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Link to Windows
-1541766942,com.samsung.accessibility.homepage.AccessibilitySettings,com.samsung.accessibility.homepage.AccessibilityHomepageActivity,Accessibility,Visibility enhancements
-1532081016,com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.GigaLteSettings,Connections,GIGA 4.5G
-1530000037,com.samsung.android.settings.connection.WirelessSettings,com.samsung.android.settings.connection.GigaMultiPath,More connection settings,Giga Multi-Path
-1515445471,com.android.settings.system.ResetDashboardFragment,com.android.settings.ResetNetwork,Reset,Reset network settings
-1511779644,com.samsung.android.settings.connection.WirelessSettings,com.samsung.android.settings.connection.ethernet.EthernetSettings,More connection settings,Ethernet
-1507662647,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Chinese input options
-1505492546,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Shared data
-1505405509,com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,System sound theme
-1503927512,com.samsung.android.settings.deviceinfo.status.SimStatus,com.samsung.android.settings.deviceinfo.status.SimStatus,SIM card status,EID
-1492944821,com.samsung.android.forest.home.DefaultActivity,com.samsung.android.forest.home.DefaultActivity,Digital Wellbeing and parental controls,Focus mode
-1490398343,com.samsung.android.settings.activekey.XcoverTopKeySettings,com.samsung.android.settings.activekey.ActiveKeyAppGridView,Top key,Press and hold
-1488110837,com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,HD audio
