_id,package_name,uid,detect_time,anomaly_type,action_type,auto_restriction
78,com.zhiliaoapp.musically,10302,1626145930576,1008,kill,0
79,com.zhiliaoapp.musically,10302,1626138709466,1008,kill,0
80,com.zhiliaoapp.musically,10302,1626134941743,1008,kill,0
81,com.zhiliaoapp.musically,10302,1626130447108,1008,kill,0
82,com.zhiliaoapp.musically,10302,1626124285739,1008,kill,0
83,com.zhiliaoapp.musically,10302,1626119632700,1008,kill,0
84,com.zhiliaoapp.musically,10302,1626116995488,1008,kill,0
85,com.zhiliaoapp.musically,10302,1626110480088,1008,kill,0
86,com.zhiliaoapp.musically,10302,1626103888037,1008,kill,0
87,com.zhiliaoapp.musically,10302,1626166838724,1008,kill,0
88,com.zhiliaoapp.musically,10302,1626157725800,1008,kill,0
89,com.zhiliaoapp.musically,10302,1626175885640,16,kill,0
90,com.zhiliaoapp.musically,10302,1626171384392,1008,kill,0
91,com.zhiliaoapp.musically,10302,1626215418678,1008,kill,0
92,com.zhiliaoapp.musically,10302,1626214637863,1008,kill,0
93,com.zhiliaoapp.musically,10302,1626204385875,1008,kill,0
94,com.zhiliaoapp.musically,10302,1626200741651,1008,kill,0
95,com.zhiliaoapp.musically,10302,1626197119596,1008,kill,0
96,com.zhiliaoapp.musically,10302,1626191970671,1008,kill,0
97,com.zhiliaoapp.musically,10302,1626237685611,1008,kill,0
98,com.zhiliaoapp.musically,10302,1626230642652,1008,kill,0
99,com.zhiliaoapp.musically,10302,1626225086166,1008,kill,0
100,com.zhiliaoapp.musically,10302,1626218686518,1008,kill,0
101,com.zhiliaoapp.musically,10302,1626216021977,1008,kill,0
102,com.zhiliaoapp.musically,10302,1626215720257,1008,kill,0
103,com.zhiliaoapp.musically,10302,1626281398173,1008,kill,0
104,com.zhiliaoapp.musically,10302,1626270375468,1008,kill,0
105,com.zhiliaoapp.musically,10302,1626255052661,1008,kill,0
106,com.zhiliaoapp.musically,10302,1626243862872,1008,kill,0
107,com.zhiliaoapp.musically,10302,1626288226219,1008,kill,0
108,com.zhiliaoapp.musically,10302,1626287924762,1008,kill,0
109,com.zhiliaoapp.musically,10302,1626923680295,16,kill,0
