_id,mnoname,smartwifirssia,smartwifirssib,smartwifirssic,smartwifirssiroveinwifionly,smartwifirssiroveoutwifionly,smartwifirssiroveinvoice,smartwifirsrp1,smartwifirsrp2,smartwifirsrp3,smartwifirsrqroveout,smartwifirsrqroveinweak,smartwifirsrqrovein,smartwificdmarssi,smartwifisnrrovein,smartwifisnrroveout,smartwifigsmeciorovein,smartwifigsmecioroveout,smartwifipingaddress,smartpktlosspercentl2w,smartpktlosspercentw2l,thresholdpingrttw2l,pingpacketcount,pingpackettimeout,rtprtcplossratepercent,rtprtcplossmaxcnt,thresholddpdlatency,threshold4grovein,threshold4groveout,threshold3grovein,threshold3groveout,threshold2grovein,threshold2groveout,sysseltimer,tepdgltetimer,tepdg1xtimer,tepdg1xscantimer,hodelaytimer,wifiipconfigtimer,tepdgqualitychecktimer,tepdgltemeasurementtimer,tepdgltemeasurementcount,tepdgwifimeasurementtimer,tepdgwifimeasurementcount,idimac,idiimsi,retry_enabled_for_always_on_apn,smartwifitimer,internet_pdn_keep_alive_timer,epdgserverip,dynamic_fqdn,dynamic_userfqdn,smart_wifi_ans_integration,smart_wifi_rtcp_integration,broadcast_ho_result,attach_pdn,alwayson_apntype,vowifi_pref,ondemand_pdn_handoff,is_throttle_enabled,pcscfv4vendorattr,pcscfv6vendorattr,imeivendorattr,netinterfacenum,epdgenable,emergency_apntype,is_dpd_allowed_in_connected_mode,is_ipv6_enabled,is_ipv6_preferred,certi_path,is_using_certi,handover_support,airplane_mode_support,roaming_support,wfc_call_menu,wfc_setting_menu,wfc_quicksetting_menu
13,Telenet_BE,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,105,110,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.telco.telenet-ops.be,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
14,Proximus_BE,-74,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,106,114,100,110,90,100,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc206.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
15,Orange_BE,-74,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,105,110,100,105,95,100,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc206.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
16,Orange_LU,-74,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,105,110,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc099.mcc270.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
17,Orange_FR,-65,-75,0,-75,-85,0,-116,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,116,105,110,99,102,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc208.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,emergency,1,0,0,none,0,1,1,0,1,1,1
18,Orange_FR:Reunion,-65,-75,0,-75,-85,0,-116,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,116,105,110,99,102,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc000.mcc647.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,emergency,1,0,0,none,0,1,1,0,1,1,1
19,Orange_FR:Caraibe,-65,-75,0,-75,-85,0,-116,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,116,105,110,99,102,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc340.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,emergency,1,0,0,none,0,1,1,0,1,1,1
20,SFR_FR,-74,-85,0,0,0,0,-112,0,-103,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,103,112,96,101,91,96,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc208.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,1,1,none,0,1,1,1,1,1,1
21,Bouygues_FR,-74,-85,0,0,0,0,-112,0,-103,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,114,122,108,113,100,104,120,120,0,0,0,10,10,2,3,2,3,1,1,1,0,5400000,epdg.epc.mnc020.mcc208.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16390,16391,0,on,none,1,1,1,none,0,1,1,1,1,0,1
22,Coriolis_FR,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc027.mcc208.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,0,0,0,none,0,1,1,1,1,0,1
23,Vodafone_ES,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,212.166.132.250,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
24,Telefonica_ES,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc007.mcc214.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,0,0,0,none,0,1,1,1,1,1,1
25,Orange_ES,-64,-75,0,-84,-90,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc003.mcc214.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
26,TMobile_HU,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc030.mcc216.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
27,DIGI_HU,-72,-79,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc003.mcc216.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16390,16391,0,on,none,0,0,0,ca.crt,1,1,1,1,1,1,1
28,TMobile_HR,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc219.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
29,21910,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc219.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,0,0,0
30,Wind_CA,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,35,1,1000,110,118,100,110,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc088.mcc222.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,0
31,Wind_CA:SJR,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,35,1,1000,110,118,100,110,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc088.mcc222.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,0
32,Telus_CA,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,35,1,1000,106,116,97,105,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc220.mcc302.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16390,16391,0,on,emergency,0,0,0,none,0,1,1,1,1,0,0
33,Koodo_CA,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,35,1,1000,106,116,97,105,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc220.mcc302.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16390,16391,0,on,emergency,0,0,0,none,0,1,1,1,1,0,0
34,22299,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,h3g-epdg.net.athonet.com,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,0,0,1
35,RDS_RO,-74,-85,0,-84,-90,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc005.mcc226.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
36,Orange_RO,-74,-85,0,-84,-90,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc226.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
37,Swisscom_CH,-74,-85,0,0,0,0,-122,0,-105,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,105,122,105,114,90,100,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc228.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
38,Sunrise_CH,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc002.mcc228.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
39,UPC_CH,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg-ch.upcmobile.com,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,emergency,0,0,0,none,0,1,1,1,1,1,1
40,Orange_CH,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc003.mcc228.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,ca.crt,1,1,1,1,1,1,1
41,22810,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc228.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,0,0,0
42,TMobile_CZ,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc230.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
43,Telefonica_CZ,-72,-79,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,108,118,98,108,92,102,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc002.mcc230.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,1,1,none,0,1,0,0,1,1,1
44,Vodafone_CZ,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc003.mcc230.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,16386,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
45,Orange_SK,-72,-79,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc231.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
46,Telefonica_SK,-72,-79,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,108,118,98,108,92,102,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc006.mcc231.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,1,1,none,0,1,1,1,1,0,1
47,TMobile_SK,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc002.mcc231.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
48,A1_AT,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc232.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,1,1,none,0,1,1,1,1,1,1
49,3_AT,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,108,115,97,107,90,100,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc232.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
50,Telefonica_GB,-74,-85,0,0,0,0,-124,0,-118,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,108,114,105,110,100,104,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc010.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
51,TelefonicaLAB_GB,-74,-85,0,0,0,0,-124,0,-118,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,108,114,105,110,100,104,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg-test.epc.mnc010.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
52,EEESN_GB,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,105,110,100,104,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc071.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
53,Vodafone_GB,-72,-79,0,0,0,0,-116,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,1000,110,116,105,110,99,102,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,NoEpdgServerIp,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,0,1,0,1
54,Hutchison_GB,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,105,110,100,104,30,120,0,0,0,10,10,2,3,2,3,0,1,1,5,5400000,epdg.epc.mnc020.mcc234.pub.3gppnetwork.org,1,1,1,1,1,default,ims,1,0,1,16389,16386,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
55,EE_GB,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc030.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,0,1
56,Virgin_GB,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc030.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,0,1,0,1
57,BTOP_GB,-72,-79,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc030.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16390,16391,0,on,emergency,1,0,0,none,0,1,1,1,1,0,1
58,Sky_GB,-65,-75,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,0,0,0,0,0,1,1,0,5400000,epdg.epc.mnc057.mcc234.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,emergency,0,0,0,none,0,1,1,1,1,0,1
59,TDC_DK,-72,-79,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc001.mcc238.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16384,16386,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
60,Telenor_DK,-74,-85,0,0,0,0,-118,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,118,100,110,95,105,30,30,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc002.mcc238.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,20,21,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
61,3_DK,-74,-85,0,0,0,0,-115,0,-110,0,0,0,0,0,0,0,-15,google.com,0,20,300,5,1,10,1,300,110,121,100,115,99,102,120,120,0,0,0,10,10,2,3,2,3,0,1,1,0,5400000,epdg.epc.mnc006.mcc238.pub.3gppnetwork.org,0,1,1,1,1,default,ims,1,0,1,16389,16390,16391,0,on,none,1,0,0,none,0,1,1,1,1,1,1
