_id,date,key,value1,value2,value3,value4,value5
816,2021-07-21 22:04:44,nitz_status,"NITZ: 21/07/22,02:02:43-16,01,1113983977 start=1113983993 delay=16","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
817,2021-07-21 22:04:45,nitz_status,"NITZ: 21/07/22,02:02:44-16,01,1113985370 start=1113985373 delay=3","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
818,2021-07-21 22:04:47,nitz_status,"NITZ: 21/07/22,02:02:46-16,01,1113987394 start=1113987402 delay=8","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
819,2021-07-21 22:04:56,nitz_status,"NITZ: 21/07/22,02:02:55-16,01,1113996703 start=1113996763 delay=60","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
820,2021-07-21 22:09:21,nitz_status,"NITZ: 21/07/22,02:07:20-16,01,1114261625 start=1114261641 delay=16","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
821,2021-07-21 22:10:19,nitz_status,"NITZ: 21/07/22,02:08:18-16,01,1114319184 start=1114319197 delay=13","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
822,2021-07-21 22:10:21,nitz_status,"NITZ: 21/07/22,02:08:20-16,01,1114321020 start=1114321030 delay=10","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
823,2021-07-21 22:12:11,nitz_status,"NITZ: 21/07/22,02:10:10-16,01,1114431207 start=1114431211 delay=4","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
824,2021-07-21 22:12:51,nitz_status,"NITZ: 21/07/22,02:10:50-16,01,1114471078 start=1114471081 delay=3","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
825,2021-07-21 22:14:11,nitz_status,"NITZ: 21/07/22,02:12:10-16,01,1114551419 start=1114551426 delay=7","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
826,2021-07-21 22:28:43,nitz_status,"NITZ: 21/07/22,02:26:43-16,01,1115423842 start=1115423852 delay=10","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
827,2021-07-21 22:30:53,nitz_status,"NITZ: 21/07/22,02:28:53-16,01,1115553877 start=1115553889 delay=12","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
828,2021-07-21 22:32:40,nitz_status,"NITZ: 21/07/22,02:30:39-16,01,1115660057 start=1115660094 delay=37","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
829,2021-07-21 22:37:19,nitz_status,"NITZ: 21/07/22,02:35:18-16,01,1115939092 start=1115939117 delay=25","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
830,2021-07-21 22:46:42,nitz_status,"NITZ: 21/07/22,02:44:41-16,01,1116502329 start=1116502344 delay=15","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
831,2021-07-21 22:47:24,nitz_status,"NITZ: 21/07/22,02:45:23-16,01,1116544393 start=1116544403 delay=10","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
832,2021-07-21 22:50:12,nitz_status,"NITZ: 21/07/22,02:48:11-16,01,1116712327 start=1116712333 delay=6","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
833,2021-07-21 22:50:16,nitz_status,"NITZ: 21/07/22,02:48:15-16,01,1116716506 start=1116716511 delay=5","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
834,2021-07-21 23:04:31,nitz_status,"NITZ: 21/07/22,03:02:30-16,01,1117571713 start=1117571790 delay=77","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
835,2021-07-21 23:05:00,nitz_status,"NITZ: 21/07/22,03:02:59-16,01,1117600601 start=1117600615 delay=14","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
836,2021-07-21 23:05:14,nitz_status,"NITZ: 21/07/22,03:03:13-16,01,1117614030 start=1117614067 delay=37","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
837,2021-07-21 23:05:41,nitz_status,"NITZ: 21/07/22,03:03:40-16,01,1117641406 start=1117641411 delay=5","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
838,2021-07-21 23:06:00,nitz_status,"NITZ: 21/07/22,03:03:59-16,01,1117660574 start=1117660580 delay=6","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
839,2021-07-21 23:07:02,nitz_status,"NITZ: 21/07/22,03:05:01-16,01,1117722059 start=1117722067 delay=8","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
840,2021-07-21 23:18:53,nitz_status,"NITZ: 21/07/22,03:16:53-16,01,1118433878 start=1118433889 delay=11","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
841,2021-07-21 23:18:57,nitz_status,"NITZ: 21/07/22,03:16:56-16,01,1118437001 start=1118437025 delay=24","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
842,2021-07-21 23:19:35,nitz_status,"NITZ: 21/07/22,03:17:34-16,01,1118475399 start=1118475415 delay=16","Operator Numeric: 312250, AutoTimezone: ON, AutoTime: ON",,,
843,2021-07-21 23:19:53,nitz_status,"NITZ: 21/07/22,03:17:52-16,01,1118493318 start=1118493327 delay=9","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
844,2021-07-21 23:21:51,nitz_status,"NITZ: 21/07/22,03:19:51-16,01,1118611884 start=1118611891 delay=7","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
845,2021-07-22 00:02:22,nitz_status,"NITZ: 21/07/22,04:00:21-16,01,1121041941 start=1121042013 delay=72","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
846,2021-07-22 00:04:07,nitz_status,"NITZ: 21/07/22,04:02:06-16,01,1121147431 start=1121147436 delay=5","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
847,2021-07-22 00:09:19,nitz_status,"NITZ: 21/07/22,04:07:18-16,01,1121459162 start=1121459179 delay=17","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
848,2021-07-22 00:10:54,nitz_status,"NITZ: 21/07/22,04:08:53-16,01,1121554548 start=1121554553 delay=5","Operator Numeric: 310260, AutoTimezone: ON, AutoTime: ON",,,
849,2021-07-22 15:06:47,airplane_mode_status,Airplane Mode: ON,,,,
850,2021-07-22 15:06:47,shutdown,Wait up to 10s for data to disconnect,,,,
851,2021-07-22 15:06:47,shutdown,hangupAndPowerOff,,,,
