name,value
voice_search:supported_languages,af-ZA ar-DZ ar-EG ar-IL ar-JO ar-KW ar-LB ar-MA ar-QA ar-SA ar-TN ar-AE bg-BG ca-ES cmn-Hans-CN cmn-Hans-HK cmn-Hant-TW yue-Hant-HK hr-HR cs-CZ da-DK nl-NL en-AU en-CA en-IN en-NZ en-ZA en-GB en-US en-001 fil-PH fi-FI fr-FR gl-ES de-DE el-GR iw-IL hi-IN hu-HU is-IS id-ID zu-ZA it-IT ja-JP ko-KR lt-LT ms-MY nb-NO fa-IR pl-PL pt-BR pt-PT ro-RO ru-RU sr-Cyrl-RS sk-SK sl-SI es-AR es-BO es-CL es-CO es-CR es-DO es-EC es-SV es-GT es-HN es-MX es-NI es-PA es-PY es-PE es-PR es-ES es-US es-UY es-VE sv-SE th-TH tr-TR uk-UA vi-VN Euskara
fireperf:779902a081b87bfba98eb6787cd348521199b342_limits,sampling:36
youtube:is_bgol_enabled_5_3,false
location:enable_chre_geofencing,false
global:lang_id_content_url,https://www.gstatic.com/android/text_classifier/langid/q/v1/model.smfb
auth_enable_clearcut,true
url:gmail_sync_http_proxy,http://mail.google.com rewrite http://android.clients.google.com/proxy/gmail
gms_icing_corpora_migration_aware_min_gsa_version,300562316
videos:performance_monitor_clearcut_enabled,true
gms:googlehelp:whitelisted_resource_url_prefixes,"www.google.com/,support.google.com/,clients6.google.com/,apis.google.com/,www.gstatic.com/,ssl.gstatic.com/,content.googleapis.com/,fonts.googleapis.com/,fonts.gstatic.com/,storage.googleapis.com/,storage.cloud.google.com/,services.google.com/,play.google.com/,www.youtube.com/,i.ytimg.com/,s.ytimg.com/,s.youtube.com/,gdata.youtube.com/,googleads.g.doubleclick.net/,lh3.ggpht.com/,lh4.ggpht.com/,lh5.ggpht.com/,lh6.ggpht.com/,lh3.googleusercontent.com/,lh4.googleusercontent.com/,lh5.googleusercontent.com/,lh6.googleusercontent.com/,lh3.google.com/,lh4.google.com/,lh5.google.com/,lh6.google.com/,accounts.google.com/o/oauth2/postmessageRelay"
gms:clearcut_dropbox_upload_strip_logcat:data_app_anr,true
gms:clearcut_dropbox_upload_strip_logcat:data_app_wtf,true
gearhead:feature_demand_space_2,true
plusone:show_photos_auto_enhance_settings,false
finsky.checkin_expid_26025069,true
finsky.checkin_expid_26025958,true
auth_proximity_gcm_sender_id,340207974841
plusone:enable_local_pages,true
gearhead:reset_audio_after_call,true
helprtc:learn_more_url,https://support.google.com/android?p=screenshare_learn_more
fireperf:296b0fb9bceb9f8c7cc7d8b01356eeac414dc5a1_limits,sampling:50
google_contacts_sync_is_delegation_enabled,true
tachyon_max_out_nofx_video,640x480x30
finsky.recovery_mode.recovered_state_logging_enabled,false
primes:compact_startup_trace_min_version,281901748
swallow_play_logger_npe,true
google_wallet:tp2_developer_preview_error,false
cloud_console:enable_memory_metric,true
qsb:deploy_the_google,true
qsb:online_help_available,true
cw:calendar_sync_days,2
madden_lair_base,https://android.clients.google.com/geo/madden/
plusone:enable_instant_share,true
music_enable_tracks_upsync,true
cw:disable_lg_call,false
checkin_event_whitelist,"auditd,cert_pin_failure,exp_det_attempt_to_call_object_getclass,exp_det_cert_pin_failure,exp_det_device_admin_activated_by_user,exp_det_device_admin_declined_by_user,exp_det_dispatchCommand_overflow,exp_det_netlink_failure,exp_det_sms_denied_by_user,exp_det_sms_sent_by_user,sms_denied_by_user,sms_sent_by_user,unknown_sources_enabled"
gms:feedback:log_line_limit,10000
finsky.verify_system_packages_probability,.7
mdm.mdm_enabled,true
backup_is_whitelisted_for_call_log_backup,true
atvremote:primes_enabled,true
gms:autofill:fill_opt_in_enabled,true
gms.udc.user_delegation,true
ctxmgr:weather_freshness_delta_time_millis,9223372036854775807
gms.udc.ctx_mgr_enabled,true
smart_profile.enable_top_level_metadata,true
playconsole.enable_canary_fraction_increase,true
update_installation_install_tonight_window,0200-0400
babel_phone_verification,true
cw:companion_logging_con,true
youtube:enable_innertube_watch_next_5_3,false
videos:exo_abr_algo,4
gmail_discard_error_uphill_op_new,1
auth_minutemaid_security_key_app_id_url_pattern,^https://www\.gstatic\.com/securitykey/(a/google\.com/)?origins\.json$
gms:security:enable_conscrypt_in_checkin,true
finsky.emergency_self_update.escape_pod_url,https://www.gstatic.com/play/store/escapepod/standard/config/config.binarypb
fireperf:675731021d2b48c9bf51c918fe3c0a38dae6590d_limits,sampling:50
google_express_storeoms:network_metric,true
dialer_reverse_lookup_min_version_enabled,1
camera:camera.lenslite.enable_text_wifi_credentials,false
Ulr__min_delta_meters,200.0
youtube:enable_lact,true
global:carrier_app_whitelist,4C36AF4A5BDAD97C1F3D8B283416D244496C2AC5EAFE8226079EF6F676FD1859:com.google.android.apps.tycho
voice_search:gstatic_url,https://www.gstatic.com/android/voicesearch/production_2018_04_18_16_50_26_e76d587f4278d32f483226ff066c1173fb8bfb3586abce6fa2fa4c86
gms_icing_enable_third_party_context,true
ads:jams:is_enabled,true
qsb:has_external_dasher_account,false
qsb:gws_cgi_param_query_equal_whitelist,"nfpr,nirf,brd,tbs,tbas,filter,zx,stick,rlst,hotel_dates,luac,lr"
gearhead:car_pwm_frame_rate_low_idle,30
fmradio:music_search_enabled,1
google_express_storeoms:timer_metric,true
gms:playlog:service:sampling_GMSCORE_BACKEND_COUNTERS,1/1000
user_location_reporting:device_tag_api_packages,"com.google.android.googlequicksearchbox,com.google.android.apps.emergencyassist,com.google.android.apps.youtube.music,com.google.android.gms,com.google.android.gms.octarine,com.google.android.apps.spot,com.google.android.apps.location.supersilver"
gearhead:vn_waze_min_version_2,1021380
gearhead:forward_search_key,true
checkin_logging_policy:snet_gcore,TAG_AND_VALUE
books:pdr_notify,true
gms:googlehelp:app_package_names_not_in_play_store,"com.android.vending,com.android.settings,com.google.android.fmradio,com.android.calculator2"
gcm_gsf_disable,1
update_ui_notify_insufficient_space_strategy,"1,43200000"
youtube:main:*:*:is_bgol_enabled,false
qsb:corpora_config_uri,https://www.gstatic.com/android/voicesearch/corpora_2014_02_07_v2p3OrLower
gass:ad_attest_signal_uri,https://www.googleapis.com/androidcheck/v1/attestations/adAttest?key=AIzaSyDaepk5bynjTA7ZhzF_0fzIHIXAkZlz3dA
games.use_plus_upsell_dialog,true
fireperf:d60d1661c62dfb11b63c7d63401472dfe87b2711_limits,sampling:50
videos:knowledge_enabled_phones,false
fireperf:bcc94c52d162d7bb8984d353ae82b49ceb1e1ba2_limits,sampling:54
instore.consumer.active_wifi_scan_backoff_factor,1.0
backup_restore_full_minTarget,23
classroom.min_version_code,191819999
gms:playlog:uploader:oauth2_developer_code,https://www.googleapis.com/auth/cclog
gmmwearable:enable_crash_metric,true
fireperf:3a145ab94751d06c868a0a3f4bbbe4b5dac1f4a5_limits,sessions_feature_enabled:0
enable_full_restore,true
drive:content_maintenance_min_interval_millis,31000
gmail_max_preview_image_size,2097152
youtube:tv:can_use_texture_surface,false
videos:use_new_easy_auth_strings,true
tachyon_disable_quic,true
finsky.auto_update_wifi_check_interval,3600000
finsky.support_edit_payment_method_url,https://payments.google.com/manage#paymentMethods
authzen_wear_enable,true
search_voice_app_install_uri,market://search?q=pname:com.google.android.voicesearch
playconsole.enable_custom_date_picker,3
event:faceunlock,log
boond:cc_apiary_service_path,/crowdcomputeworker/v1
finsky.recovery_mode.event_logging_enabled,true
checkin_logging_policy:exp_det_cert_pin_failure,TAG_AND_VALUE
primes:shutdown_primes,false
fireperf:09347db515b8cbfb57de90d7ada116450b5a0be8_limits,sampling:50
qsb:enable_heterodyne_bright_launch_v6p7,true
gms:wearable:service:data_layer_max_sync_delay_ms,0
youtube:is_pudl_enabled_without_resync,false
tachyon_primes_track_crash,true
checkin_logging_policy:exp_det_sms_sent_by_user,TAG_AND_VALUE
fireperf:fb3225cdebad7ee61935751fafe3936c3d7e6f79_limits,sampling:3
secure:lockscreen.options,enable_facelock
update_installation_device_idle_maintenance_battery_threshold_period,31536000000
youtube:main:failsafe_clear_cache_dogfood,false
ce.cm.filtered_data_fail_cause,4111
fitness.micro.enable_primes_crash_logging,true
tachyon_primes_track_timer,true
backup_server_environment_logging_key,1
gms:clearcut_dropbox_upload_strip_logcat:system_app_strictmode,true
gms:feedback:enable_suggestions,true
wallet.androidpay.use_orchestration_buyflow,true
update_download_redownload_retry_limit,3
gearhead:prioritized_hats_site_id_projected,cd45twhhyb6hsk6wj3uthiiq7m
snet_safe_browsing_update_interval_ms,72000000
verify_apps_learn_more_url,https://support.google.com/accounts/bin/answer.py?answer=2812853
finsky.emergency_self_update.is_enabled,true
videos:enable_replay_polish_force_on_vs,true
playconsole.metrics_refurb,3
instore.consumer.ui.consumer_receipt_detail_activity.merchant_id_to_survey_map,"McDonald's,shswe24c7erauypk7x5ldwwrhq,Chick-fil-A,xotg34ws73ofaqq4g5id4ry7nm"
gmail_wait_time_retry_uphill_op,129600
videos:cache_soft_ttl_seconds,3600
youtube:target_app_version_5_7,110170000
finsky.verify_apps_min_gms_version_for_consent_in_secure_settings,8400000
gmail-cal-promo-event-title,1
url:calendar_sync_https_proxy_gdata,https://www.google.com/calendar/feeds rewrite https://android.clients.google.com/proxy/calendar2
babel_fix_double_ringing_issue_caused_by_sim_call_manager_change_key_with_permission_check,false
youtube:is_bgol_enabled,false
ce.wa.att.enable_device_build_solution,true
finsky.loyalty_signup_interstitial_image_url,http://lh3.googleusercontent.com/_6kFk9-qfhMvMNXYS87dEGfHpjGkWlaBEYeoeUkOj7CeRJ8OWndApLBUJ0VKGf4yasxu
googletts:enable_crash_metric,true
gearhead:gsa_trust_nav_intent_package,true
instore.consumer.min_version_soft,103433076
snet_do_safe_browsing_periodic_update,true
gads:debug_logging_feature:intercept_web_view,true
gms_icing_enable_updateindex_from_content_provider,false
finsky.verify_apps_broadcast_pha_event,true
gms:chromesync:pre_sync_metadata,true
people.cp2_photo_batch_size,1
youtube:main:failsafe_clear_cache_release_13_02,true
checkin_logging_policy:exp_det_sms_denied_by_user,TAG_AND_VALUE
gtalk_nosync_heartbeat_ping_interval_ms,1680000
vending_hide_ad_prefs,false
appstate.max_state_bytes,262144
google_services:geowiki,Google Map maker||Allows applications to sign in to the Google Map maker service using the account(s) stored on this phone.
fireperf:9b005150ef28fb3ff9b4eedb5019b14d372fb862_limits,sampling:38
finsky.pss.wl_v2_3p,"com.sec.android.easyMover:34DF0E7A9F1CF1892E45C056B4973CD81CCF148A4050D11AEA4AC5A65F900A42,C8A2E9BCCF597C2FB6DC66BEE293FC13F2FC47EC77BC6B2B0D52C11F51192AB8,0A012131B1BDF9E80EF97D37F3B48362BE363A464C8445ECF83627EBE8493A1E;com.samsung.android.wearable.setupwizard:C8A2E9BCCF597C2FB6DC66BEE293FC13F2FC47EC77BC6B2B0D52C11F51192AB8"
gads:gmsg:disable_back_button:enabled,true
event:exp_det_cert_pin_failure,log
googletts:use_lstm,false
leanbacklauncher:primes_enabled,true
moviemaker:new_aam_plus_in_app_notification_enabled_v2,FALSE
tachyon_call_rating_policy_call_duration_secs,15
ocr.perform_nonstandard_cc_recognition,false
gms:playlog:uploader:max_log_events_size_bytes,9437184
event:exp_det_sms_sent_by_user,packages
update_publish_system_update_info,1
gms_icing_silent_feedback_3p_sample,0.0001
google_services:panoramio,Panoramio||Allows applications to sign in to the Panoramio service using the account(s) stored on this phone.
gms:places_default_geofencing_notification_responsiveness,150000
youtube:is_pudl_enabled_without_resync_5_3,false
fitness.enable_activity_from_steps_transformation,true
cw:notification_reviver_can_show_in_app_phone_reboot_ui,true
gearhead:forward_navigation_key,true
googlevoice_hats_time_after_update_satisfaction_survey_days,5
fireperf:0d392c66b32b0f51c7d88542626ee9477307f77a_limits,"sessions_feature_enabled:1,sessions_sampling_percentage:50"
videos:in_app_drm_player_streaming_height_cap,719
play.playlog_enabled_sources,BOOKS
fitness.fitness_server_timeout_ms,12000
location:gpwle_thresh,20
update_notify_wifi_disconnected_delay,0
gearhead:VanagonDeprecation__disable_frx_btal_setup,true
matchstick_backend_host,instantmessaging-pa.googleapis.com
matchstick_backend_port,443
deskclock:calm_country_codes,"AU,BR,CA,DE,ES,FR,GB,JP,KR,MX,PT,US"
gms:playlog:service:sampling_GMSCORE_API_COUNTERS,1/1000
gearhead:tts_minimum_version,210307100
wallet.request_context_include_native_client_context_android_id,true
books:playlog_v2_enabled,true
fireperf:7521bf5fe108642ff29039ffbe53ff3aa43b7271_limits,sampling:50
auth_credentials_api_notify_chromesync_on_gsync,true
fitness.default_sampling_rate_rules_blacklist,"com.google.step_count.cumulative,60000000:com.google.location.sample,7200000000"
location:places_analytics_sampling_rate_percent,10.0
fitness.fit_app_active_mode_location_sample_rate_millis,2000
books:enable_quick_setting_edu,false
babel_google_voice_add_balance_url,https://voice.google.com/billing?a=ac
googlevoice_enable_silent_feedback,true
tvlauncher:notifications_whitelisted_packages,"android,com.android.shell,com.google.android.permissioncontroller,com.google.android.tv.remote.service,com.google.android.tvlauncher,com.google.android.tvrecommendations,com.android.vending,com.android.traceur,com.google.android.apps.nbu.smartconnect.tv"
location:flp_hal_mode,0
playconsole.selectable_data_points,3
work:oob_config_phonesky_dpc_installation,false
youtube_use_proxy,true
fireperf:06929abb6b2223a7d83e00cbfdc57e73dbe8f6d1_limits,sampling:80
fireperf:d4340932a645efc1115160baa8ebd1e0d262846c_limits,sampling:50
finsky.daily_hygiene_preload_experiments,true
playconsole.enable_app_list_search,true
youtube:enable_innertube_watch_next,false
games.enable_metagame,true
helprtc:turn_cloud_timeout_seconds,20
fitness.micro.show_fitness_promo,true
ocr.perform_cc_exp_date_recognition,true
videos:exo_v2_use_video_track_selection_x,true
cloud_console:enable_network_metric,true
newsstand:background_auth_success_notification,true
gms:phenotype:log_counters,true
location:places_whitelisted_partners,"com.life360.android.safetymapd,com.tencent.mm"
location:places_place_picker_user_behavior_collection_fraction,0.001
gads:enable_adid_content_provider,true
global:send_action_app_error,1
gms:chimera:show_chimera_settings,false
filesgo:primes_package_reporting,true
location_sharing.search_method_types,google;email;phone
gtalk_compress,false
gcm_enable_connection5,1
gms:clearcut_dropbox_upload_upload_max_bytes:system_app_crash,51200
bugle_enable_primes_package_metrics,true
betterbug_enable_timer_metric,true
music_enable_tracks_upsync_deletion,true
finsky.early_update_timeout_ms,15000
url:wallet.i18n_address_metadata_server_insecure,http://i18napis.appspot.com/address rewrite http://payments.google.com/payments/data/address
youtube:analytics_sample_ratio,2000
gms:clearcut_dropbox_upload_upload_max_bytes:data_app_strictmode,51200
gtalk_idle_timeout_ms,43200000
gms:places_analytics_sampling_rate_percent,10.0
location:stats_collect_nlp_enabled,0.01
full_backup_restore_whitelist,"com.google.android.deskclock,com.android.providers.telephony,com.android.wallpaperbackup,com.google.android.apps.nexuslauncher,com.google.android.apps.paidtasks,com.google.android.apps.chrome.document,com.google.android.apps.chrome,com.chrome.beta,com.android.chrome,com.chrome.dev,com.chrome.canary,com.chrome.work,org.chromium.chrome,com.google.android.apps.books,com.google.android.apps.enterprise.cpanel,com.google.android.apps.gamut,com.google.android.apps.jobs,com.google.android.keep,com.google.android.apps.tachyon,com.google.android.apps.fitness,com.android.launcher3,com.google.android.apps.youtube.vr,com.google.android.apps.chromecast.app,com.google.android.calculator"
event:snet_launch_service,log
gms:common:show_set_up_nearby_device_settings,true
tachyon_platform_agc_disabled,true
gearhead:music_minimum_version,-1
fitness.fit_app_enable_primes,true
gcm_http_old,0
moviemaker:aam_renderer_version,103
carrier_services_video_share_disabled_user_agent_substrings,"SM-G930,SM-G935,SM-A320"
backup_usb_pixelmigrate_min_version,-1
finsky.use_tos_as_verify_apps_consent,true
fitness.max_data_points_per_data_source,100000
gads:enable_content_fetching,true
videos:always_start_transfer_service,false
gearhead:can_show_rating_prompt_projected,true
tvrecommendations:primes_timer_metric_enabled,true
sw_key_value_backup_whitelist,"@pm@,com.android.vending,com.android.nfc,com.android.providers.userdictionary,com.google.android.calendar,com.google.android.dialer,com.google.android.inputmethod.latin"
device_country,us
location:place_inference_balanced_power_module_list,"BeaconScoring,CategoryScoring,DistanceScoring,GeoJournalScoring,HomeWorkScoring,HulkPersonaScoring,PopularityScoring,SpotterScoring,TimeBasedScoring,WifiScoring"
insight:surveyor:isBluetoothScanningEnabled,true
bugle_enable_primes_crash_metrics,true
primes:log_process_creation_time_min_version,281901748
ocr.cc_ocr_enabled,true
books:paid_user_category_display,BOTTOM
gcm_hc_backoff,1
market_force_checkin,1
fireperf:09bb736959ef3e26084f37202a2b2ae0ea95beac_limits,sampling:37
fireperf:119fc81e986eaf3d1cb68b1c6e9d7284e980fe46_limits,sampling:50
videos:exo_v2_reset_bw_meter_on_network_type_change,true
instore.consumer.max_location_fix_radius_meters,100.0
auth_backup_opt_in_state,-1
feedback_tos_url,https://tools.google.com/userfeedback/external/android/tos.html
finsky.verify_apps_min_gms_version_for_device_wide_consent,10500000
voice_search:de_DE_action_go_to,Anzeigen
finsky.verify_apps_offline_managed_device_policy_enabled,true
fireperf:450bb63948ef91e8f179be53e31f2c9d46b40d99_limits,sampling:57
fitness.prune_still_on_bike_states,true
matchstick_enable_sms_receiver,false
gads:js_flags:update_interval,14400000
tron:eventlog_collection_enable,true
voice_search:it_IT_slot_send_sms_message,messaggio
wallet.androidpay.get_all_cards_timeout_millis,22000
fireperf:bd5e01d779500e4378ad3bf7eb687a89383effec_limits,sampling:30
videos:performance_monitor_odyssey_enabled,true
fitness.shareable_data_schema,com.nike.NIKEFUEL=NIKEFUEL-1|com.adidas.jump.height=height-2|com.adidas.hustle=hustle-2|com.adidas.quickness=quickness-2
vending_use_checkout_qa_service,false
auth_coffee_fetch_home_work_address_interval_millis,86400000
books:obv3_done_button,V1
gms_disable:com.google.android.youtube,0:enabled
calculator_primes_crash,true
url:block_crash_reports,http://android.clients.google.com/crash block
backup_server_url,https://android.clients.google.com/backup
playconsole.is_feature_analytics_enabled,3
user_location_reporting:max_bind_to_gmm_millis,60000
fireperf:89659d0b4baf440da470056ff3c18afd9d420527_limits,sampling:50
primes:use_process_get_start_elapsed_realtime,true
fireperf:17cd7edc94add516fe7e71ec863fdd96f631626d_limits,sampling:1
ads:jams:fixed_min_delay_between_requests_mins,764
books:enable_non_comics_series,true
snet_report_event_logs,"50125:2,50128:2,conscrypt:3,78001:2,65537:2,90201:2,90202:2,70151:2"
fitness.fit_app_min_supported_version,2015047000
newsweather:news_lite_enabled_countries,IN
fireperf:3e447877143a5f9a034e064c24e0c0e055a2c96a_limits,sampling:40
music_playlist_prefetch_count,3
gms:clearcut_dropbox_upload_strip_logcat:data_app_native_crash,true
videos:minimum_version,26000
url:calendar_sync_http_proxy,http://www.google.com/calendar rewrite https://android.clients.google.com/proxy/calendar
gms:cast:device_scanner:is_subtype_filtering_disabled,true
instore.consumer.common.active_wifi_scan_helper.wait_for_active_wifi_scan_result_timeout_seconds,15
playconsole.enable_listing_experiments,true
cw:communication_enabled,false
youtube:enable_innertube_browse_for_default_feed,true
camera:camera.lenslite.enable_foreign_contact_recognition,false
event:exp_det_sms_denied_by_user,packages
authzen_pull_enable,true
finsky.verify_apps_hostname,android-safebrowsing.google.com
fireperf:4995328139757d65e5a064f529d50654b7f43ad4_limits,sampling:50
videos:exo_v2_abr_algo,4
voice_search:de_DE_hint_go_to,wikipedia <b>anzeigen</b>
gads:request_builder:singleton_webview,true
location:use_gps_pdr_in_flp,false
googlevoice_enable_primes_package_monitoring,true
babel_sms_dep_enabled,true
qsb:commit_gsa_config_with_delay_v5p2,true
finsky.verify_apps_logging.enabled,true
matchstick_site_link,https://support.google.com/allo?p=download_app
update_status_log_min_delay_sec,86400
books:use_fast_book_open_api_2,true
enable_auth_generic_account_recovery,true
babel_call_media_type_refresh_max_delay_ms,120000
finsky.third_party_app_overlay_whitelist,"com.google.android.vr.home,com.google.android.vr.home.dev,com.google.android.googlequicksearchbox,com.google.android.play.games,com.google.android.apps.chromecast.app,com.pinterest.dev,com.google.android.instantapps.supervisor,com.google.android.videos,com.google.android.apps.freighter,com.google.android.apps.freighter.beta,com.google.android.apps.travel.onthego,com.google.android.gms,com.google.android.inputmethod.latin,com.google.android.inputmethod.latin.dev,com.google.android.inputmethod.latin.canary,com.google.vr.apps.ornament,com.google.vr.apps.ornament.dev,com.google.android.apps.vega,com.google.android.apps.tycho,com.google.ar.lens,com.google.ar.lens.dev,com.google.android.apps.dreamliner,com.google.android.deskclock,com.google.android.apps.tachyon,com.google.android.gm,com.google.samples.apps.cardboarddemo,com.google.vr.cardboard.paperscope,com.google.android.apps.tips,com.google.android.apps.nbu.files"
playconsole.killswitch_warn_apk_versions_before,500016900
gmail-cal-promo-meal-title,0
analytics.service_enabled,true
books:enable_passage_snapshot,false
instantapps:reinstall_supervisor_on_link_tap,false
boond:cc_apiary_root_url,https://www.googleapis.com
fireperf:d89ef0b551ae1779454e078b35e21bec42fef922_limits,sampling:50
betterbug_enable_network_metric,true
babel_sms_dep_snackbar_enabled,false
location_sharing.upgrade_on_edit,true
finsky.verify_apps_auto_disable_allow_re_enable_v1,true
snet_selected_files,"/proc/sunxi_debug/sunxi_debug,/system/bin/wland,/data/configppgl,/sdcard/.SDAndroid"
gms:autofill:autofill_enabled,true
fireperf:17d329aad85b74a0a74545638bce20ede8d52cd5_limits,sampling:50
gads:sdk_core_location,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/sdk-core-v40-loader.html
fireperf:d820042daf0361235737c00e03f8b5cd66612310_limits,sampling:50
books:free_user_category_display,TOP
audiomodem:broadcaster_max_ultrasound_volume,11
Tasks:enable_battery_metric,true
auth_credentials_api_sync_waiting_time_millis,120000
babel_delay_initialization_latch_enable_serial_executor,true
spacesexperiment:client_logging_cutoff_release,899
tachyon_phone_number_whitelist_prefix,+199999
gearhead:frx_tts_package,com.google.android.tts:210307100
tvlauncher:primes_timer_metric_enabled,true
youtube:tv:target_app_version,10116000
google_express_courierapp:timer_metric,true
vending_show_similar_tab_in_app_info_page,1
gcm_iid_reset_on_restore,0
videos:recommendation_feed_http_cache_soft_ttl_millis,3600000
instore.consumer.service.ble_scan_service.enable_continuous_bluetooth_scans,true
society:primes_timer_reporting,true
gearhead:gsa_minimum_version,300758200
auth_minute_maid_timeout,90000
Ulr__accuracy_multiplier,1.7
finsky.verify_apps_auto_disable_enabled_v1,true
herrevad.herrevad_id_lifetime_seconds,3024000
qsb:gcore_ulr_burst_mode,true
gms:googlehelp:2g_template_config_based_on_network_type,7
videos:onboarding_feedback,false
books:parental_controls_enabled,true
