_id,conversation_id,message_id,text,content_uri,content_type,thumbnail_uri,file_name,sticker_id,size,bytes_transferred,width,height,orientation,webpreview_title,webpreview_image,webpreview_description,webpreview_url,webpreview_status,antiphishing_urls_risks,sef_type,search_text,_data,view_type
23,9,23,,content://mms/part/2,image/jpeg,,Resized_Screenshot_20210705-142955_Cartomizer.jpeg,,193384.0,,511.0,1080.0,0.0,,,,,0,,0,,/data/user_de/0/com.android.providers.telephony/app_parts/PART_1626742644543_Resized_Screenshot_20210705-142955_Cartomizer.jpeg,0
24,9,23,,content://mms/part/3,image/jpeg,,Resized_20210703_192751.jpeg,,814859.0,,978.0,2064.0,0.0,,,,,0,,0,,/data/user_de/0/com.android.providers.telephony/app_parts/PART_1626742644555_Resized_20210703_192751.jpeg,0
25,9,23,,content://mms/part/4,image/jpeg,,Resized_20210703_192806.jpeg,,8991.0,,424.0,200.0,0.0,,,,,0,,0,,/data/user_de/0/com.android.providers.telephony/app_parts/PART_1626742644568_Resized_20210703_192806.jpeg,0
26,9,24,"120K miles, 2014 Hyundai Sonata.",,text/plain,,,,,,,,,,,,,0,,0,,,0
28,9,26,Can't give you the VIN due to privacy. You can have it when you come over to see the vehicle.,,text/plain,,,,,,,,,,,,,0,,0,,,0
29,9,27,Ok that sounds good!,,text/plain,,,,,,,,,,,,,0,,0,,,0
30,9,28,When would you like to meet to look at the car and seal the deal?,,text/plain,,,,,,,,,,,,,0,,0,,,0
31,9,29,I will send you a text tomorrow morning and let you know what time tomorrow works best if that is ok with you?,,text/plain,,,,,,,,,,,,,0,,0,,,0
32,9,30,"Sure, let me know, I will let you know if I am available or not. See you!",,text/plain,,,,,,,,,,,,,0,,0,,,0
33,9,31,Can you meet in about 20mins at the Washington Street Tennis Courts?,,text/plain,,,,,,,,,,,,,0,,0,,,0
34,9,32,"Sure, will see you at the building left of the courts.",,text/plain,,,,,,,,,,,,,0,,0,,,0
35,9,33,Sounds good! See you!,,text/plain,,,,,,,,,,,,,0,,0,,,0
36,10,34,Hey Beth!,,text/plain,,,,,,,,,,,,,0,,0,,,0
37,10,35,Free Msg: Receiver 6104572655 unable to receive message - Message Blocking is active.,,text/plain,,,,,,,,,,,,,0,,0,,,0
