_id,operatornumeric,provisioning_type,gid2,ui_type,salescode,networkcode,gid1,configure_elements
88,310220,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
89,00101,5,0,5,25,0,FFFF,"2,7,0,1,5,0,11,3,0,2"
90,312720,26,0,0,0,0,0,"1,7,0,0,0,0,0,2,0,4"
91,310260,5,0,5,28,0,DEFF,"2,7,0,0,6,0,10,3,0,2"
92,310240,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
93,310410,1,0,1,0,0,2ac9,"0,0,0,0,0,0,0,0,0,4"
94,310200,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
95,311580,27,0,0,0,0,FFFFFFFFFFFFFFFF,"1,0,0,0,0,0,0,2,0,4"
96,310170,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
97,311490,4,0,4,0,0,0,"0,0,0,0,10,0,0,0,0,2"
98,310410,1,0,1,0,0,2AC9,"0,0,0,0,0,0,0,0,0,4"
99,310380,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
100,311180,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
101,313130,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
102,311480,3,0,3,0,0,BA01450000000000,"0,0,0,0,0,0,0,0,2,2"
103,311870,4,0,4,0,0,0,"0,0,0,0,10,0,0,0,0,2"
104,311390,3,0,3,0,0,BAE0000000000000,"0,0,0,0,0,0,0,0,1,3"
105,20404,3,0,3,0,0,BA01490000000000,"0,0,0,0,0,0,0,0,1,2"
106,310210,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
107,310270,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
108,311480,3,0,3,3,0,0,"0,0,0,0,0,0,0,0,1,3"
109,311480,3,0,3,0,0,BA00150000000000,"0,0,0,0,0,0,0,0,1,2"
110,310230,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
111,310250,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
112,20404,3,0,3,29,0,BA01270000000000,"0,0,0,0,0,0,0,0,1,2"
113,310230,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
114,310240,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
115,20404,3,0,3,23,0,BA01490000000000,"0,0,0,0,0,0,0,0,1,2"
116,311480,3,0,3,0,0,BAE0000000000000,"0,0,0,0,0,0,0,0,1,3"
117,999999,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
118,999999,4,0,4,14,0,0,"0,0,0,0,10,0,0,0,0,2"
119,310310,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
120,310210,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
121,310660,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
122,310230,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
123,310660,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
124,310240,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
125,310270,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
126,310260,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
127,310200,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
128,310260,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
129,310160,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
130,310260,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
131,310800,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
132,310490,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
133,00101,5,0,5,0,0,DDFF,"2,7,0,0,4,0,12,3,0,2"
134,310150,8,0,8,30,0,0,"0,0,0,0,2,0,0,0,0,1"
135,310120,4,0,4,0,0,0,"0,0,0,0,10,0,0,0,0,2"
136,310280,1,0,1,0,0,49FF,"0,0,0,0,0,0,0,0,0,4"
137,310280,1,0,1,0,0,49ff,"0,0,0,0,0,0,0,0,0,4"
138,313130,1,0,1,0,0,0,"0,7,0,0,0,0,0,0,0,4"
139,310270,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
140,310240,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
141,310310,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
142,313140,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
143,310160,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
144,310230,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
145,311225,27,0,0,27,0,FFFFFFFFFFFFFFFF,"1,0,0,0,0,0,0,2,0,4"
146,00101,5,0,5,0,0,2AC9,"2,7,0,1,0,0,12,3,0,2"
147,999999,8,0,8,8,0,0,"0,0,0,0,3,0,0,0,0,1"
148,311580,27,0,0,27,0,FFFFFFFFFFFFFFFF,"1,0,0,0,0,0,0,2,0,4"
149,999999,4,0,4,15,0,0,"0,0,0,0,10,0,0,0,0,2"
150,310250,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
151,310280,1,0,1,0,0,2ac9,"0,0,0,0,0,0,0,0,0,4"
152,310560,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
153,310210,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
154,310260,5,0,5,28,0,4D4B,"2,7,0,0,6,0,10,3,0,2"
155,311230,26,0,0,0,0,0,"1,7,0,0,0,0,0,2,0,4"
156,311480,3,0,3,0,0,BA01490000000000,"0,0,0,0,0,0,0,0,1,2"
157,310280,1,0,1,0,0,2AC9,"0,0,0,0,0,0,0,0,0,4"
158,310310,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
159,313100,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
160,310160,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
161,001101,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
162,310280,1,0,1,0,0,DDFF,"0,0,0,0,0,0,0,0,0,4"
163,00101,5,0,5,0,0,FFFF,"2,7,0,0,4,0,12,3,0,2"
164,310030,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
165,310490,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
166,312670,1,0,1,0,0,0,"0,7,0,0,0,0,0,0,0,4"
167,311180,1,0,1,0,0,2ac9,"0,0,0,0,0,0,0,0,0,4"
168,310310,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
169,312420,26,0,0,26,0,0,"1,7,0,0,0,0,0,2,0,4"
170,311180,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
171,310680,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
172,310220,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
173,311180,1,0,1,0,0,2AC9,"0,0,0,0,0,0,0,0,0,4"
174,311028,3,0,3,0,0,BAE0000000000000,"0,0,0,0,0,0,0,0,1,3"
175,310490,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
176,310250,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
177,00101,5,0,5,0,0,0,"2,7,0,0,4,0,12,3,0,2"
178,001101,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
179,311630,26,0,0,0,0,0,"1,7,0,0,0,0,0,2,0,4"
180,310280,1,0,1,22,0,deff,"0,0,0,0,0,0,0,0,0,4"
181,310260,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
182,310800,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
183,311480,3,0,3,0,0,BA00130000000000,"0,0,0,0,0,0,0,0,1,2"
184,310250,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
185,310210,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
186,310210,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
187,310240,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
188,310800,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
189,310090,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
190,310170,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
191,310160,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
192,310410,1,0,1,22,0,deff,"0,0,0,0,0,0,0,0,0,4"
193,310410,1,0,1,0,0,BAE0000000000000,"0,0,0,0,0,0,0,0,0,4"
194,312670,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
195,310270,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
196,310660,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
197,311480,3,0,3,0,0,BA01480000000000,"0,0,0,0,0,0,0,0,1,2"
198,310660,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
199,310490,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
200,310260,5,0,5,0,0,DDFF,"2,7,0,0,6,0,10,3,0,2"
201,310800,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
202,310260,5,0,5,0,0,2AC9,"2,7,0,1,0,0,12,3,0,2"
203,310240,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
204,310800,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
205,311180,1,0,1,0,0,0,"0,7,0,0,2,0,0,0,0,1"
206,310220,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
207,310660,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
208,310200,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
209,310410,1,0,1,22,0,DDFF,"0,0,0,0,0,0,0,0,0,4"
210,310250,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
211,310160,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
212,310280,1,0,1,0,0,DEFF,"0,0,0,0,0,0,0,0,0,4"
213,313120,1,0,1,0,0,0,"0,7,0,0,0,0,0,0,0,4"
214,999999,4,0,4,13,0,0,"0,0,0,0,10,0,0,0,0,2"
215,310660,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
216,310270,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
217,310230,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
218,310160,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
219,313100,1,0,1,0,0,0,"0,7,0,0,0,0,0,0,0,4"
220,311870,4,0,4,13,0,0,"0,0,0,0,10,0,0,0,0,2"
221,310230,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
222,310200,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
223,310230,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
224,310200,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
225,310230,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
226,310170,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
227,310250,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
228,310560,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
229,310000,4,0,4,0,0,0,"0,0,0,0,10,0,0,0,0,2"
230,999999,3,0,3,29,0,0,"0,0,0,0,0,0,0,0,1,2"
231,20404,3,0,3,24,0,BA01450000000000,"0,0,0,0,0,0,0,0,2,2"
232,310800,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
233,311490,4,0,4,14,0,0,"0,0,0,0,10,0,0,0,0,2"
234,310280,1,0,1,0,0,deff,"0,0,0,0,0,0,0,0,0,4"
235,310250,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
236,310410,1,0,1,0,0,49FF,"0,0,0,0,0,0,0,0,0,4"
237,310410,1,0,1,0,0,49ff,"0,0,0,0,0,0,0,0,0,4"
238,311480,3,0,3,24,0,BA01450000000000,"0,0,0,0,0,0,0,0,2,2"
239,310680,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
240,310260,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
241,310270,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
242,240770,26,0,0,0,0,0,"1,7,0,0,0,0,0,2,0,4"
243,310150,8,0,8,0,0,0,"0,7,0,0,0,0,0,0,0,4"
244,311480,3,0,3,0,0,BAE1000000000000,"0,0,0,0,0,0,0,0,1,2"
245,310160,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
246,310160,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
247,310070,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
248,310030,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
249,310410,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
250,310150,8,0,8,8,0,0,"0,0,0,0,3,0,0,0,0,1"
251,310950,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
252,310240,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
253,310950,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
254,310090,1,0,1,0,0,FFFF,"0,7,0,0,2,0,0,0,0,1"
255,310280,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
256,313100,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
257,312670,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
258,310490,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
259,310660,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
260,310260,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
261,001101,1,0,1,30,0,0,"0,0,0,0,2,0,0,0,0,1"
262,310270,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
263,310270,5,0,5,25,0,544D,"2,7,0,1,5,0,11,3,0,2"
264,310310,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
265,310310,5,0,5,0,0,756D,"2,7,0,0,8,0,12,3,0,2"
266,310220,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
267,310800,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
268,310310,5,0,5,0,0,6135,"2,7,0,0,9,0,12,3,0,2"
269,310800,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
270,310800,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
271,310270,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
272,310260,5,0,5,5,0,FFFF,"2,7,0,0,4,0,12,3,0,2"
273,310660,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
274,310200,5,0,5,28,0,544D,"2,7,0,1,0,0,12,3,0,2"
275,999999,1,0,1,22,0,0,"0,0,0,0,0,0,0,0,0,4"
276,310490,5,0,5,5,0,544D,"2,7,0,0,4,0,12,3,0,2"
277,310030,1,0,1,1,0,0,"0,0,0,0,2,0,0,0,0,1"
278,00101,5,0,5,25,0,6D38,"2,7,0,1,0,0,11,3,0,2"
279,310200,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
280,310120,4,0,4,4,0,0,"0,0,0,0,10,0,0,0,0,2"
281,310240,5,0,5,0,0,544D,"2,7,0,0,4,0,12,3,0,2"
282,310220,5,0,5,0,0,534D,"2,7,0,0,7,0,10,3,0,2"
283,999999,4,0,4,4,0,0,"0,0,0,0,10,0,0,0,0,2"
284,311390,3,0,3,3,0,0,"0,0,0,0,0,0,0,0,1,3"
285,313110,1,0,1,0,0,0,"0,7,0,0,0,0,0,0,0,4"
286,310220,5,0,5,25,0,6D38,"2,7,0,0,5,0,11,3,0,2"
287,310310,5,0,5,0,0,4153,"2,7,0,0,8,0,12,3,0,2"
288,00101,5,0,5,0,0,4D4B,"2,7,0,0,4,0,12,3,0,2"
289,310210,5,0,5,0,0,6D38,"2,7,0,0,5,0,11,3,0,2"
