data_type,key,metadata
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUn8HWbHqdc9Nqz4nUjo5fXFDzXzWP7vwQAAAA
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUn8HWbHqdc9NrDGxNPo5fXFDzXzWP7_wMAAAA
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUn4DUFz3Xz2P7_5K0epJftsZaIr4XGAwIAAAA
APP_ACTIONS,_sync_timestamp_micros,1624603549998508
APP_ACTIONS,_version_info,c3FeE8ZW0bU38HWbHqdc9NrDGxNPo5fXFDzXzWP7_wMAADAk_gbKFKWwMxp9zAI
APP_ACTIONS,_sync_token,EgkIrLv+65ey8QI=
APP_SHORTCUTS,_sync_timestamp_micros,1624603549998508
APP_SHORTCUTS,_version_info,c3FeE8ZW0bU38HWbHqdc9NrDGxNPo5fXFDzXzWP7_wMAADAk_gbKFKWwMxp9zAI
APP_SHORTCUTS,_sync_token,EgkIrLv+65ey8QI=
GELLER_CONFIG,_sync_timestamp_micros,1624603549998508
GELLER_CONFIG,_version_info,c3FeE8ZW0bU38HWbHqdc9NrDGxNPo5fXFDzXzWP7_wMAADAk_gbKFKWwMxp9zAI
GELLER_CONFIG,_sync_token,EgkIrLv+65ey8QI=
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUnYHusJeJrofGA1wFdpZfXFDzXzWP7vwEAAAA
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUn8HWbHqdc9NqTzVUFppfXFDzXzWP7vwQAAAA
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUnMCT-BsoUpbAjpL19p5fXFDzXzWP7_wAAAAA
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUn4DUFz3Xz2P4_f82cqJftsZaIr4XGQwAAAAA
ASSISTANT_SETTINGS,_version_info,c3FeE8ZW0bUn8HWbHqdc9NpDyn6irJfXFDzXzWP7_wQAAAA
ASSISTANT_SETTINGS,_version_info,c3FeE8ZW0bUn8HWbHqdc9NpDyn6irJfXFDzXzWP7_wQAAAA
ASSISTANT_SETTINGS,_version_info,c3FeE8ZW0bUnYHusJeJrofEA7Ja8rJfXFDzXzWP7vwAAAAA
PRIVACY_SETTINGS,_version_info,c3FeE8ZW0bUnYHusJeJrofEA7Ja8rJfXFDzXzWP7vwAAAAA
ASSISTANT_SETTINGS,_sync_timestamp_micros,1626916614754323
ASSISTANT_SETTINGS,_sync_token,EgkIk6Cb18D18QI=
PRIVACY_SETTINGS,_sync_timestamp_micros,1626916614754323
PRIVACY_SETTINGS,_sync_token,EgkIk6Cb18D18QI=
