_id,value
com.urbanairship.iam.data.LAST_PAYLOAD_METADATA,"{""sdk_version"":""14.1.1"",""country"":""US"",""language"":""en""}"
com.urbanairship.analytics.ANALYTICS_ENABLED,true
com.urbanairship.application.metrics.APP_VERSION,3749
com.urbanairship.push.LAST_REGISTRATION_PAYLOAD,"{""identity_hints"":{""user_id"":""hiOO0jz3Q_-xJJG7RQxiLg""},""channel"":{""android_api_version"":30,""app_version"":""6.7.2"",""device_model"":""SM-N970U1"",""timezone"":""America\/New_York"",""android"":{""delivery_type"":""fcm""},""set_tags"":true,""device_type"":""android"",""locale_country"":""US"",""tags"":[],""carrier"":""T-Mobile"",""background"":true,""sdk_version"":""14.1.1"",""opt_in"":true,""locale_language"":""en"",""push_address"":""coI3EiBMScOt_yOcrO39Iy:APA91bGtaOdORKAhpplD2QWFkjBD41ji3irNH91MS6h9HJA6rjhwAaopTcD-IigSwvmOoiQn5ahVh71WiQvuM1ciGV7-UAyfltidea46Wov75JDygBWp_BirWuSf2d2w9EUJScED17ay""}}"
com.urbanairship.remotedata.LAST_REFRESH_APP_VERSION,3749
com.urbanairship.iam.data.LAST_PAYLOAD_TIMESTAMP,1624924800000
com.urbanairship.remotedata.LAST_MODIFIED,"Fri, 09 Jul 2021 00:00:00 GMT"
com.urbanairship.push.LAST_CANONICAL_IDS,"[""d97581f7-5f17-412b-8570-3ae4eaf192cd"",""64c4b855-2ea2-448d-a303-0e4312cc9aaf"",""2f291222-d269-4088-83dd-a66beebae25a"",""6740c454-1d7d-4490-a9ed-1835de5e413d"",""612bac5e-a675-4105-9251-647eba2cc2d4"",""f5fa8aff-512d-48bf-b5ac-cd2be2169809"",""b45151ab-98e3-42b5-82ca-e9c9c006265b"",""bde9cca6-1768-4437-b161-a98333716e48"",""cbb1561c-7581-4dfd-8177-b93ae128c00f"",""6f2b1488-c810-4d85-b4de-de0db7bbde02""]"
com.urbanairship.push.LAST_RECEIVED_METADATA,eyJ2ZXJzaW9uX2lkIjoxLCJ0aW1lIjoxNjI2ODE4NzkwNDAyLCJwdXNoX2lkIjoiNmYyYjE0ODgtYzgxMC00ZDg1LWI0ZGUtZGUwZGI3YmJkZTAyIiwiZ3JvdXBfaWQiOiJjODIxNzg4OS00NGYwLTQyMjQtOWUzMy0yZTk5ZDQ4NjY0NzEiLCJjYW1wYWlnbnMiOnsiY2F0ZWdvcmllcyI6W119fQ==
com.urbanairship.user.LAST_MESSAGE_REFRESH_TIME,1626771814000
com.urbanairship.push.LAST_REGISTRATION_TIME,1626878432880
com.urbanairship.application.metrics.LAST_OPEN,1626884036532
com.urbanairship.analytics.SCHEDULED_SEND_TIME,1626884046570
com.urbanairship.remotedata.LAST_REFRESH_TIME,1626884038001
com.urbanairship.push.ATTRIBUTE_DATA_STORE,[]
com.urbanairship.analytics.LAST_SEND,1626884046610
