_id,event_id,name,value
103,10,os-uild,RP1A.200720.012
104,10,sdk-version,30
105,10,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
106,10,model,SM-N970U1
107,10,tz-offset,-14400
108,10,device,d1q
109,10,hardware,qcom
110,10,manufacturer,samsung
111,11,product,d1que
112,11,net-type,0
113,11,mobile-subtype,13
114,11,os-uild,RP1A.200720.012
115,11,sdk-version,30
116,11,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
117,11,model,SM-N970U1
118,11,tz-offset,-14400
119,11,device,d1q
120,11,hardware,qcom
121,11,manufacturer,samsung
122,12,product,d1que
123,12,net-type,0
124,12,mobile-subtype,13
125,12,os-uild,RP1A.200720.012
126,12,sdk-version,30
127,12,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
128,12,model,SM-N970U1
129,12,tz-offset,-14400
130,12,device,d1q
131,12,hardware,qcom
132,12,manufacturer,samsung
133,13,product,d1que
134,13,net-type,0
135,13,mobile-subtype,13
136,13,os-uild,RP1A.200720.012
137,13,sdk-version,30
138,13,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
139,13,model,SM-N970U1
140,13,tz-offset,-14400
141,13,device,d1q
142,13,hardware,qcom
143,13,manufacturer,samsung
144,14,product,d1que
145,14,net-type,0
146,14,mobile-subtype,13
147,14,os-uild,RP1A.200720.012
148,14,sdk-version,30
149,14,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
150,14,model,SM-N970U1
151,14,tz-offset,-14400
152,14,device,d1q
153,14,hardware,qcom
154,14,manufacturer,samsung
155,15,product,d1que
156,15,net-type,0
157,15,mobile-subtype,13
158,15,os-uild,RP1A.200720.012
159,15,sdk-version,30
160,15,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
161,15,model,SM-N970U1
162,15,tz-offset,-14400
163,15,device,d1q
164,15,hardware,qcom
165,15,manufacturer,samsung
166,16,product,d1que
167,16,net-type,0
168,16,mobile-subtype,13
169,16,os-uild,RP1A.200720.012
170,16,sdk-version,30
171,16,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
172,16,model,SM-N970U1
173,16,tz-offset,-14400
174,16,device,d1q
175,16,hardware,qcom
176,16,manufacturer,samsung
177,17,product,d1que
178,17,net-type,0
179,17,mobile-subtype,13
180,17,os-uild,RP1A.200720.012
181,17,sdk-version,30
182,17,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
183,17,model,SM-N970U1
184,17,tz-offset,-14400
185,17,device,d1q
186,17,hardware,qcom
187,17,manufacturer,samsung
188,18,product,d1que
189,18,net-type,0
190,18,mobile-subtype,13
191,18,os-uild,RP1A.200720.012
192,18,sdk-version,30
193,18,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
194,18,model,SM-N970U1
195,18,tz-offset,-14400
196,18,device,d1q
197,18,hardware,qcom
198,18,manufacturer,samsung
199,19,product,d1que
200,19,net-type,0
201,19,mobile-subtype,13
202,19,os-uild,RP1A.200720.012
203,19,sdk-version,30
204,19,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
205,19,model,SM-N970U1
206,19,tz-offset,-14400
207,19,device,d1q
208,19,hardware,qcom
209,19,manufacturer,samsung
210,20,product,d1que
211,20,net-type,0
212,20,mobile-subtype,13
213,20,os-uild,RP1A.200720.012
214,20,sdk-version,30
215,20,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
216,20,model,SM-N970U1
217,20,tz-offset,-14400
218,20,device,d1q
219,20,hardware,qcom
220,20,manufacturer,samsung
221,21,product,d1que
222,21,net-type,0
223,21,mobile-subtype,13
224,21,os-uild,RP1A.200720.012
225,21,sdk-version,30
226,21,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
227,21,model,SM-N970U1
228,21,tz-offset,-14400
229,21,device,d1q
230,21,hardware,qcom
231,21,manufacturer,samsung
232,22,product,d1que
233,22,net-type,0
234,22,mobile-subtype,13
235,22,os-uild,RP1A.200720.012
236,22,sdk-version,30
237,22,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
238,22,model,SM-N970U1
239,22,tz-offset,-14400
240,22,device,d1q
241,22,hardware,qcom
242,22,manufacturer,samsung
243,23,product,d1que
244,23,net-type,0
245,23,mobile-subtype,13
246,23,os-uild,RP1A.200720.012
247,23,sdk-version,30
248,23,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
249,23,model,SM-N970U1
250,23,tz-offset,-14400
251,23,device,d1q
252,23,hardware,qcom
253,23,manufacturer,samsung
254,24,product,d1que
255,24,net-type,0
256,24,mobile-subtype,13
257,24,os-uild,RP1A.200720.012
258,24,sdk-version,30
259,24,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
260,24,model,SM-N970U1
261,24,tz-offset,-14400
262,24,device,d1q
263,24,hardware,qcom
264,24,manufacturer,samsung
265,25,product,d1que
266,25,net-type,0
267,25,mobile-subtype,13
268,25,os-uild,RP1A.200720.012
269,25,sdk-version,30
270,25,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
271,25,model,SM-N970U1
272,25,tz-offset,-14400
273,25,device,d1q
274,25,hardware,qcom
275,25,manufacturer,samsung
276,26,product,d1que
277,26,net-type,0
278,26,mobile-subtype,13
279,26,os-uild,RP1A.200720.012
280,26,sdk-version,30
281,26,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
282,26,model,SM-N970U1
283,26,tz-offset,-14400
284,26,device,d1q
285,26,hardware,qcom
286,26,manufacturer,samsung
287,27,product,d1que
288,27,net-type,0
289,27,mobile-subtype,13
290,27,os-uild,RP1A.200720.012
291,27,sdk-version,30
292,27,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
293,27,model,SM-N970U1
294,27,tz-offset,-14400
295,27,device,d1q
296,27,hardware,qcom
297,27,manufacturer,samsung
298,28,product,d1que
299,28,net-type,0
300,28,mobile-subtype,13
301,28,os-uild,RP1A.200720.012
302,28,sdk-version,30
303,28,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
304,28,model,SM-N970U1
305,28,tz-offset,-14400
306,28,device,d1q
307,28,hardware,qcom
308,28,manufacturer,samsung
309,29,product,d1que
310,29,net-type,0
311,29,mobile-subtype,13
312,29,os-uild,RP1A.200720.012
313,29,sdk-version,30
314,29,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
315,29,model,SM-N970U1
316,29,tz-offset,-14400
317,29,device,d1q
318,29,hardware,qcom
319,29,manufacturer,samsung
320,30,product,d1que
321,30,net-type,0
322,30,mobile-subtype,13
323,30,os-uild,RP1A.200720.012
324,30,sdk-version,30
325,30,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
326,30,model,SM-N970U1
327,30,tz-offset,-14400
328,30,device,d1q
329,30,hardware,qcom
330,30,manufacturer,samsung
331,31,product,d1que
332,31,net-type,0
333,31,mobile-subtype,13
334,31,os-uild,RP1A.200720.012
335,31,sdk-version,30
336,31,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
337,31,model,SM-N970U1
338,31,tz-offset,-14400
339,31,device,d1q
340,31,hardware,qcom
341,31,manufacturer,samsung
342,32,product,d1que
343,32,net-type,0
344,32,mobile-subtype,13
345,32,os-uild,RP1A.200720.012
346,32,sdk-version,30
347,32,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
348,32,model,SM-N970U1
349,32,tz-offset,-14400
350,32,device,d1q
351,32,hardware,qcom
352,32,manufacturer,samsung
353,33,product,d1que
354,33,net-type,0
355,33,mobile-subtype,13
356,33,os-uild,RP1A.200720.012
357,33,sdk-version,30
358,33,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
359,33,model,SM-N970U1
360,33,tz-offset,-14400
361,33,device,d1q
362,33,hardware,qcom
363,33,manufacturer,samsung
364,34,product,d1que
365,34,net-type,0
366,34,mobile-subtype,13
367,34,os-uild,RP1A.200720.012
368,34,sdk-version,30
369,34,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
370,34,model,SM-N970U1
371,34,tz-offset,-14400
372,34,device,d1q
373,34,hardware,qcom
374,34,manufacturer,samsung
375,35,product,d1que
376,35,net-type,0
377,35,mobile-subtype,13
378,35,os-uild,RP1A.200720.012
379,35,sdk-version,30
380,35,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
381,35,model,SM-N970U1
382,35,tz-offset,-14400
383,35,device,d1q
384,35,hardware,qcom
385,35,manufacturer,samsung
386,36,product,d1que
387,36,net-type,0
388,36,mobile-subtype,13
389,36,os-uild,RP1A.200720.012
390,36,sdk-version,30
391,36,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
392,36,model,SM-N970U1
393,36,tz-offset,-14400
394,36,device,d1q
395,36,hardware,qcom
396,36,manufacturer,samsung
397,37,product,d1que
398,37,net-type,0
399,37,mobile-subtype,13
400,37,os-uild,RP1A.200720.012
401,37,sdk-version,30
402,37,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
403,37,model,SM-N970U1
404,37,tz-offset,-14400
405,37,device,d1q
406,37,hardware,qcom
407,37,manufacturer,samsung
408,38,product,d1que
409,38,net-type,0
410,38,mobile-subtype,13
411,38,os-uild,RP1A.200720.012
412,38,sdk-version,30
413,38,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
414,38,model,SM-N970U1
415,38,tz-offset,-14400
416,38,device,d1q
417,38,hardware,qcom
418,38,manufacturer,samsung
419,39,product,d1que
420,39,net-type,0
421,39,mobile-subtype,13
422,39,os-uild,RP1A.200720.012
423,39,sdk-version,30
424,39,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
425,39,model,SM-N970U1
426,39,tz-offset,-14400
427,39,device,d1q
428,39,hardware,qcom
429,39,manufacturer,samsung
430,40,product,d1que
431,40,net-type,0
432,40,mobile-subtype,13
433,40,os-uild,RP1A.200720.012
434,40,sdk-version,30
435,40,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
436,40,model,SM-N970U1
437,40,tz-offset,-14400
438,40,device,d1q
439,40,hardware,qcom
440,40,manufacturer,samsung
441,41,product,d1que
442,41,net-type,0
443,41,mobile-subtype,13
444,41,os-uild,RP1A.200720.012
445,41,sdk-version,30
446,41,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
447,41,model,SM-N970U1
448,41,tz-offset,-14400
449,41,device,d1q
450,41,hardware,qcom
451,41,manufacturer,samsung
452,42,product,d1que
453,42,net-type,0
454,42,mobile-subtype,13
455,42,os-uild,RP1A.200720.012
456,42,sdk-version,30
457,42,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
458,42,model,SM-N970U1
459,42,tz-offset,-14400
460,42,device,d1q
461,42,hardware,qcom
462,42,manufacturer,samsung
463,43,product,d1que
464,43,net-type,0
465,43,mobile-subtype,13
466,43,os-uild,RP1A.200720.012
467,43,sdk-version,30
468,43,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
469,43,model,SM-N970U1
470,43,tz-offset,-14400
471,43,device,d1q
472,43,hardware,qcom
473,43,manufacturer,samsung
474,44,product,d1que
475,44,net-type,0
476,44,mobile-subtype,13
477,44,os-uild,RP1A.200720.012
478,44,sdk-version,30
479,44,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
480,44,model,SM-N970U1
481,44,tz-offset,-14400
482,44,device,d1q
483,44,hardware,qcom
484,44,manufacturer,samsung
485,45,product,d1que
486,45,net-type,0
487,45,mobile-subtype,13
488,45,os-uild,RP1A.200720.012
489,45,sdk-version,30
490,45,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
491,45,model,SM-N970U1
492,45,tz-offset,-14400
493,45,device,d1q
494,45,hardware,qcom
495,45,manufacturer,samsung
496,46,product,d1que
497,46,net-type,0
498,46,mobile-subtype,13
499,46,os-uild,RP1A.200720.012
500,46,sdk-version,30
501,46,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
502,46,model,SM-N970U1
503,46,tz-offset,-14400
504,46,device,d1q
505,46,hardware,qcom
506,46,manufacturer,samsung
507,47,product,d1que
508,47,net-type,0
509,47,mobile-subtype,13
510,47,os-uild,RP1A.200720.012
511,47,sdk-version,30
512,47,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
513,47,model,SM-N970U1
514,47,tz-offset,-14400
515,47,device,d1q
516,47,hardware,qcom
517,47,manufacturer,samsung
518,48,product,d1que
519,48,net-type,0
520,48,mobile-subtype,13
521,48,os-uild,RP1A.200720.012
522,48,sdk-version,30
523,48,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
524,48,model,SM-N970U1
525,48,tz-offset,-14400
526,48,device,d1q
527,48,hardware,qcom
528,48,manufacturer,samsung
529,49,product,d1que
530,49,net-type,0
531,49,mobile-subtype,13
532,49,os-uild,RP1A.200720.012
533,49,sdk-version,30
534,49,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
535,49,model,SM-N970U1
536,49,tz-offset,-14400
537,49,device,d1q
538,49,hardware,qcom
539,49,manufacturer,samsung
540,50,product,d1que
541,50,net-type,0
542,50,mobile-subtype,13
543,50,os-uild,RP1A.200720.012
544,50,sdk-version,30
545,50,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
546,50,model,SM-N970U1
547,50,tz-offset,-14400
548,50,device,d1q
549,50,hardware,qcom
550,50,manufacturer,samsung
551,51,product,d1que
552,51,net-type,0
553,51,mobile-subtype,13
554,51,os-uild,RP1A.200720.012
555,51,sdk-version,30
556,51,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
557,51,model,SM-N970U1
558,51,tz-offset,-14400
559,51,device,d1q
560,51,hardware,qcom
561,51,manufacturer,samsung
562,52,product,d1que
563,52,net-type,0
564,52,mobile-subtype,13
565,52,os-uild,RP1A.200720.012
566,52,sdk-version,30
567,52,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
568,52,model,SM-N970U1
569,52,tz-offset,-14400
570,52,device,d1q
571,52,hardware,qcom
572,52,manufacturer,samsung
573,53,product,d1que
574,53,net-type,0
575,53,mobile-subtype,13
576,53,os-uild,RP1A.200720.012
577,53,sdk-version,30
578,53,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
579,53,model,SM-N970U1
580,53,tz-offset,-14400
581,53,device,d1q
582,53,hardware,qcom
583,53,manufacturer,samsung
584,54,product,d1que
585,54,net-type,0
586,54,mobile-subtype,13
587,54,os-uild,RP1A.200720.012
588,54,sdk-version,30
589,54,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
590,54,model,SM-N970U1
591,54,tz-offset,-14400
592,54,device,d1q
593,54,hardware,qcom
594,54,manufacturer,samsung
595,55,product,d1que
596,55,net-type,0
597,55,mobile-subtype,13
598,55,os-uild,RP1A.200720.012
599,55,sdk-version,30
600,55,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
601,55,model,SM-N970U1
602,55,tz-offset,-14400
603,55,device,d1q
604,55,hardware,qcom
605,55,manufacturer,samsung
606,56,product,d1que
607,56,net-type,0
608,56,mobile-subtype,13
609,56,os-uild,RP1A.200720.012
610,56,sdk-version,30
611,56,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
612,56,model,SM-N970U1
613,56,tz-offset,-14400
614,56,device,d1q
615,56,hardware,qcom
616,56,manufacturer,samsung
617,57,product,d1que
618,57,net-type,0
619,57,mobile-subtype,13
620,57,os-uild,RP1A.200720.012
621,57,sdk-version,30
622,57,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
623,57,model,SM-N970U1
624,57,tz-offset,-14400
625,57,device,d1q
626,57,hardware,qcom
627,57,manufacturer,samsung
628,58,product,d1que
629,58,net-type,0
630,58,mobile-subtype,13
631,58,os-uild,RP1A.200720.012
632,58,sdk-version,30
633,58,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
634,58,model,SM-N970U1
635,58,tz-offset,-14400
636,58,device,d1q
637,58,hardware,qcom
638,58,manufacturer,samsung
639,59,product,d1que
640,59,net-type,0
641,59,mobile-subtype,13
642,59,os-uild,RP1A.200720.012
643,59,sdk-version,30
644,59,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
645,59,model,SM-N970U1
646,59,tz-offset,-14400
647,59,device,d1q
648,59,hardware,qcom
649,59,manufacturer,samsung
650,60,product,d1que
651,60,net-type,0
652,60,mobile-subtype,13
653,60,os-uild,RP1A.200720.012
654,60,sdk-version,30
655,60,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
656,60,model,SM-N970U1
657,60,tz-offset,-14400
658,60,device,d1q
659,60,hardware,qcom
660,60,manufacturer,samsung
661,61,product,d1que
662,61,net-type,0
663,61,mobile-subtype,13
664,61,os-uild,RP1A.200720.012
665,61,sdk-version,30
666,61,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
667,61,model,SM-N970U1
668,61,tz-offset,-14400
669,61,device,d1q
670,61,hardware,qcom
671,61,manufacturer,samsung
672,62,product,d1que
673,62,net-type,0
674,62,mobile-subtype,13
675,62,os-uild,RP1A.200720.012
676,62,sdk-version,30
677,62,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
678,62,model,SM-N970U1
679,62,tz-offset,-14400
680,62,device,d1q
681,62,hardware,qcom
682,62,manufacturer,samsung
683,63,product,d1que
684,63,net-type,0
685,63,mobile-subtype,13
686,63,os-uild,RP1A.200720.012
687,63,sdk-version,30
688,63,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
689,63,model,SM-N970U1
690,63,tz-offset,-14400
691,63,device,d1q
692,63,hardware,qcom
693,63,manufacturer,samsung
694,64,product,d1que
695,64,net-type,0
696,64,mobile-subtype,13
697,64,os-uild,RP1A.200720.012
698,64,sdk-version,30
699,64,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
700,64,model,SM-N970U1
701,64,tz-offset,-14400
702,64,device,d1q
703,64,hardware,qcom
704,64,manufacturer,samsung
705,65,product,d1que
706,65,net-type,0
707,65,mobile-subtype,13
708,65,os-uild,RP1A.200720.012
709,65,sdk-version,30
710,65,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
711,65,model,SM-N970U1
712,65,tz-offset,-14400
713,65,device,d1q
714,65,hardware,qcom
715,65,manufacturer,samsung
716,66,product,d1que
717,66,net-type,0
718,66,mobile-subtype,13
719,66,os-uild,RP1A.200720.012
720,66,sdk-version,30
721,66,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
722,66,model,SM-N970U1
723,66,tz-offset,-14400
724,66,device,d1q
725,66,hardware,qcom
726,66,manufacturer,samsung
727,67,product,d1que
728,67,net-type,0
729,67,mobile-subtype,13
730,67,os-uild,RP1A.200720.012
731,67,sdk-version,30
732,67,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
733,67,model,SM-N970U1
734,67,tz-offset,-14400
735,67,device,d1q
736,67,hardware,qcom
737,67,manufacturer,samsung
738,68,product,d1que
739,68,net-type,0
740,68,mobile-subtype,13
741,68,os-uild,RP1A.200720.012
742,68,sdk-version,30
743,68,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
744,68,model,SM-N970U1
745,68,tz-offset,-14400
746,68,device,d1q
747,68,hardware,qcom
748,68,manufacturer,samsung
749,69,product,d1que
750,69,net-type,0
751,69,mobile-subtype,13
752,69,os-uild,RP1A.200720.012
753,69,sdk-version,30
754,69,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
755,69,model,SM-N970U1
756,69,tz-offset,-14400
757,69,device,d1q
758,69,hardware,qcom
759,69,manufacturer,samsung
760,70,product,d1que
761,70,net-type,0
762,70,mobile-subtype,13
763,70,os-uild,RP1A.200720.012
764,70,sdk-version,30
765,70,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
766,70,model,SM-N970U1
767,70,tz-offset,-14400
768,70,device,d1q
769,70,hardware,qcom
770,70,manufacturer,samsung
771,71,product,d1que
772,71,net-type,0
773,71,mobile-subtype,13
774,71,os-uild,RP1A.200720.012
775,71,sdk-version,30
776,71,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
777,71,model,SM-N970U1
778,71,tz-offset,-14400
779,71,device,d1q
780,71,hardware,qcom
781,71,manufacturer,samsung
782,72,product,d1que
783,72,net-type,0
784,72,mobile-subtype,13
785,72,os-uild,RP1A.200720.012
786,72,sdk-version,30
787,72,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
788,72,model,SM-N970U1
789,72,tz-offset,-14400
790,72,device,d1q
791,72,hardware,qcom
792,72,manufacturer,samsung
793,73,product,d1que
794,73,net-type,0
795,73,mobile-subtype,13
796,73,os-uild,RP1A.200720.012
797,73,sdk-version,30
798,73,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
799,73,model,SM-N970U1
800,73,tz-offset,-14400
801,73,device,d1q
802,73,hardware,qcom
803,73,manufacturer,samsung
804,74,product,d1que
805,74,net-type,0
806,74,mobile-subtype,13
807,74,os-uild,RP1A.200720.012
808,74,sdk-version,30
809,74,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
810,74,model,SM-N970U1
811,74,tz-offset,-14400
812,74,device,d1q
813,74,hardware,qcom
814,74,manufacturer,samsung
815,75,product,d1que
816,75,net-type,0
817,75,mobile-subtype,13
818,75,os-uild,RP1A.200720.012
819,75,sdk-version,30
820,75,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
821,75,model,SM-N970U1
822,75,tz-offset,-14400
823,75,device,d1q
824,75,hardware,qcom
825,75,manufacturer,samsung
826,76,product,d1que
827,76,net-type,0
828,76,mobile-subtype,13
829,76,os-uild,RP1A.200720.012
830,76,sdk-version,30
831,76,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
832,76,model,SM-N970U1
833,76,tz-offset,-14400
834,76,device,d1q
835,76,hardware,qcom
836,76,manufacturer,samsung
837,77,product,d1que
838,77,net-type,0
839,77,mobile-subtype,13
840,77,os-uild,RP1A.200720.012
841,77,sdk-version,30
842,77,fingerprint,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys
843,77,model,SM-N970U1
844,77,tz-offset,-14400
