_id,package_name,uid,mode,new,reason,extras,resetTime,packageType,level,disableTime,disableType,disableResetTime,current,prevCurrent,currCurrent,disableReason,dozeWhiteListed
23,com.sec.android.app.sbrowser,10225,0,0,default,0,1624946166036,65,1,-1,-1,-1,0,0,0,default,-1
24,com.google.android.documentsui,10083,0,0,default,0,1625809658603,64,1,-1,-1,-1,0,0,0,default,-1
25,com.facebook.katana,10229,0,0,default,0,1626981067413,65,1,-1,-1,-1,0,0,0,default,-1
26,com.samsung.android.appseparation,10139,0,0,default,0,1624946166039,64,1,-1,-1,-1,0,0,0,default,-1
27,com.samsung.android.app.spage,10232,0,0,default,0,1626982905835,64,1,-1,-1,-1,0,0,0,default,-1
29,com.google.android.projection.gearhead,10063,0,0,default,0,1626983036622,64,1,-1,-1,-1,0,0,0,default,-1
30,com.samsung.android.visionintelligence,10190,0,0,default,0,1624946166043,64,1,-1,-1,-1,0,0,0,default,-1
32,com.sec.android.app.camera,10126,0,0,default,0,1626983036623,65,1,-1,-1,-1,0,0,0,default,-1
33,com.google.android.apps.docs,10283,1,1,added_from_mars_auto,4,1625809658602,39,4,-1,1,-1,0,0,0,added_from_mars_auto,-1
34,com.google.android.videos,10284,1,1,added_from_mars_auto,2,1624427035827,39,2,-1,-1,-1,0,0,0,deleted_from_user_manual,-1
35,com.google.android.music,10285,0,0,deleted_from_mars_auto,0,0,39,1,-1,-1,-1,0,0,0,deleted_from_mars_auto,-1
36,com.google.android.apps.photos,10286,0,0,default,0,1626812053791,39,1,-1,-1,-1,0,0,0,default,-1
37,com.microsoft.office.outlook,10287,1,1,added_from_mars_auto,4,0,47,4,-1,1,-1,0,0,0,added_from_mars_auto,-1
38,com.linkedin.android,10288,1,1,added_from_mars_auto,4,1625809658606,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
39,com.microsoft.office.officehubrow,10289,1,1,added_from_mars_auto,4,0,39,4,-1,1,-1,0,0,0,added_from_mars_auto,-1
40,com.samsung.android.spay,10290,0,0,default,0,1624386406381,47,1,-1,-1,-1,0,0,0,default,-1
41,com.sec.android.app.popupcalculator,10291,0,0,default,0,1624386406380,39,1,-1,-1,-1,0,0,0,default,-1
42,com.samsung.android.app.watchmanager,10292,0,0,default,0,0,39,1,-1,-1,-1,0,0,0,default,-1
43,com.sec.android.app.shealth,10293,0,0,default,0,1621881810579,39,1,-1,-1,-1,0,0,0,default,-1
44,com.samsung.android.voc,10294,0,0,default,0,0,39,1,-1,-1,-1,0,0,0,default,-1
45,com.sec.android.easyMover,10295,0,0,default,0,1625588054029,39,1,-1,-1,-1,0,0,0,default,-1
46,com.sec.penup,10296,0,0,default,0,0,39,1,-1,-1,-1,0,0,0,default,-1
47,com.samsung.android.oneconnect,10297,0,0,default,0,1626916809310,39,1,-1,-1,-1,0,0,0,default,-1
48,com.spotify.music,10298,1,1,added_from_mars_auto,4,1625261265272,39,4,-1,1,-1,0,0,0,added_from_mars_auto,-1
49,com.facebook.orca,10299,0,0,default,0,1625718467262,39,1,-1,-1,-1,0,0,0,default,-1
50,com.instagram.android,10300,0,0,deleted_from_mars_auto,0,0,39,1,-1,-1,-1,0,0,0,deleted_from_mars_auto,-1
51,com.snapchat.android,10301,0,0,default,0,1626959495894,39,1,-1,-1,-1,0,0,0,default,-1
52,com.zhiliaoapp.musically,10302,0,1,deleted_from_mars_auto,0,1626977238059,39,1,-1,-1,-1,0,0,0,default,-1
53,org.thoughtcrime.securesms,10303,0,1,deleted_from_mars_auto,0,1626298954154,39,1,-1,-1,-1,0,0,0,added_from_mars_auto,-1
54,com.duckduckgo.mobile.android,10304,1,1,added_from_mars_auto,4,1625809658608,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
55,com.venmo,10305,0,1,deleted_from_mars_auto,0,1626589638371,39,1,-1,0,-1,0,0,0,added_from_mars_auto,-1
56,com.twitter.android,10306,0,0,default,0,1626924418720,39,1,-1,-1,-1,0,0,0,default,-1
57,com.whatsapp,10307,0,0,default,0,1626820550968,39,1,-1,-1,-1,0,0,0,default,-1
58,com.samsung.sree,10308,0,0,default,0,1626983036619,39,1,-1,-1,-1,0,0,0,default,-1
59,gov.vdh.exposurenotification,10309,0,0,default,0,1626981414626,39,1,-1,-1,-1,0,0,0,default,-1
60,com.tmobile.tuesdays,10310,0,0,default,0,0,39,1,-1,-1,-1,0,0,0,default,-1
61,app.greyshirts.sslcapture,10311,1,1,added_from_mars_auto,4,0,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
62,com.upside.consumer.android,10312,0,0,default,0,1626589638365,39,1,-1,-1,-1,0,0,0,default,-1
63,com.google.tango.measure,10313,1,1,added_from_mars_auto,4,1621595951433,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
64,com.google.android.apps.tachyon,10211,0,0,default,0,1626982534350,165,1,-1,-1,-1,0,0,0,default,0
65,com.app.tgtg,10061,0,0,default,0,1626983036623,39,1,-1,-1,-1,0,0,0,default,-1
66,com.beenverified.android,10134,1,1,added_from_mars_auto,4,1623012586519,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
67,com.instantcheckmate.app,10318,1,1,added_from_mars_auto,4,1623012586520,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
69,com.reddit.frontpage,10320,0,0,default,0,1626384524028,39,1,-1,-1,-1,0,0,0,default,-1
70,com.androidrocker.voicechanger,10321,1,1,added_from_mars_auto,4,1625809658601,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
71,catching.cheatingspouseapp.app,10322,1,1,added_from_mars_auto,4,1624386406338,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
72,com.antispycell.free,10323,1,1,added_from_mars_auto,4,1624386406330,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
73,com.flatfish.cal.privacy,10324,1,1,added_from_mars_auto,4,1625846340524,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
74,com.ea.game.nfs14_row,10325,1,1,added_from_mars_auto,4,1625809658601,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
75,com.carfax.consumer,10326,0,0,default,0,1625871641520,39,1,-1,-1,-1,0,0,0,default,-1
76,com.cargurus.mobileApp,10327,0,0,default,0,1626959495889,39,1,-1,-1,-1,0,0,0,default,-1
77,com.autotrader.android,10328,1,1,added_from_mars_auto,4,1625809658602,39,4,-1,-1,-1,0,0,0,added_from_mars_auto,-1
78,com.lemurmonitors.bluedriver,10329,0,0,default,0,1625809658609,39,1,-1,-1,-1,0,0,0,default,-1
79,com.napko.RealDash,10330,0,0,default,0,1625809658598,39,1,-1,-1,-1,0,0,0,default,-1
80,app.cartomizer,10331,0,0,default,0,1625809658599,39,1,-1,-1,-1,0,0,0,default,-1
81,com.gydala.allcars,10332,0,0,default,0,1625809658601,39,1,-1,-1,-1,0,0,0,default,-1
82,com.orto.usa,10333,0,0,default,0,1625809658598,39,1,-1,-1,-1,0,0,0,default,-1
83,com.waze,10336,0,0,default,0,1625809658599,39,1,-1,-1,-1,0,0,0,default,-1
